Gene,Non-unique Gene name,Annotation,8CESK0LV,IUSRULWE,MEALYT7M,MTU6F5AX,YMM2RB8W
yceI,yceI,Protein YceI,GCDEOBMB_02297,DBBBBKPJ_06191,INHMNHHN_01705,PDFLHPBO_00327,FNCGEDBI_05964
chpE,chpE,chemotactic transduction protein ChpE,GCDEOBMB_02303,DBBBBKPJ_06185,INHMNHHN_01711,PDFLHPBO_00333,FNCGEDBI_05970
group_4016,,hypothetical protein,GCDEOBMB_02322,DBBBBKPJ_06166,INHMNHHN_01730,PDFLHPBO_00352,FNCGEDBI_05989
group_4015,,ATP-dependent RNA helicase,GCDEOBMB_02292,DBBBBKPJ_06196,INHMNHHN_01700,PDFLHPBO_00322,FNCGEDBI_05959
proC,proC,pyrroline-5-carboxylate reductase,GCDEOBMB_02327,DBBBBKPJ_06161,INHMNHHN_01735,PDFLHPBO_00357,FNCGEDBI_05994
chpB,chpB,methylesterase,GCDEOBMB_02306,DBBBBKPJ_06182,INHMNHHN_01714,PDFLHPBO_00336,FNCGEDBI_05973
pilJ,pilJ,twitching motility protein PilJ,GCDEOBMB_02309,DBBBBKPJ_06179,INHMNHHN_01717,PDFLHPBO_00339,FNCGEDBI_05976
group_4014,,cation efflux system protein,GCDEOBMB_02323,DBBBBKPJ_06165,INHMNHHN_01731,PDFLHPBO_00353,FNCGEDBI_05990
bioA,bioA,adenosylmethionine--8-amino-7-oxononanoate aminotransferase BioA,GCDEOBMB_02300,DBBBBKPJ_06188,INHMNHHN_01708,PDFLHPBO_00330,FNCGEDBI_05967
pilT_1,pilT_1,twitching motility protein PilT,GCDEOBMB_02325,DBBBBKPJ_06163,INHMNHHN_01733,PDFLHPBO_00355,FNCGEDBI_05992
group_4013,,L-amino acid dehydrogenase,GCDEOBMB_02299,DBBBBKPJ_06189,INHMNHHN_01707,PDFLHPBO_00329,FNCGEDBI_05966
pilG,pilG,pilus biosynthesis/twitching motility protein PilG,GCDEOBMB_02312,DBBBBKPJ_06176,INHMNHHN_01720,PDFLHPBO_00342,FNCGEDBI_05979
chpC,chpC,chemotaxis protein,GCDEOBMB_02305,DBBBBKPJ_06183,INHMNHHN_01713,PDFLHPBO_00335,FNCGEDBI_05972
group_4012,,16S ribosomal RNA methyltransferase RsmE,GCDEOBMB_02301,DBBBBKPJ_06187,INHMNHHN_01709,PDFLHPBO_00331,FNCGEDBI_05968
gshB,gshB,glutathione synthetase,GCDEOBMB_02313,DBBBBKPJ_06175,INHMNHHN_01721,PDFLHPBO_00343,FNCGEDBI_05980
pilU,pilU,twitching motility protein PilU,GCDEOBMB_02324,DBBBBKPJ_06164,INHMNHHN_01732,PDFLHPBO_00354,FNCGEDBI_05991
group_4011,,dihydroorotase,GCDEOBMB_02319,DBBBBKPJ_06169,INHMNHHN_01727,PDFLHPBO_00349,FNCGEDBI_05986
chpD,chpD,transcriptional regulator,GCDEOBMB_02304,DBBBBKPJ_06184,INHMNHHN_01712,PDFLHPBO_00334,FNCGEDBI_05971
group_4010,,hypothetical protein,GCDEOBMB_02329,DBBBBKPJ_06159,INHMNHHN_01737,PDFLHPBO_00359,FNCGEDBI_05996
group_4009,,hypothetical protein,GCDEOBMB_02330,DBBBBKPJ_06158,INHMNHHN_01738,PDFLHPBO_00360,FNCGEDBI_05997
group_4008,,cystathionine beta-synthase,GCDEOBMB_02321,DBBBBKPJ_06167,INHMNHHN_01729,PDFLHPBO_00351,FNCGEDBI_05988
group_4007,,hypothetical protein,GCDEOBMB_02302,DBBBBKPJ_06186,INHMNHHN_01710,PDFLHPBO_00332,FNCGEDBI_05969
mexA,mexA,multidrug resistance protein MexA,GCDEOBMB_02295,DBBBBKPJ_06193,INHMNHHN_01703,PDFLHPBO_00325,FNCGEDBI_05962
oprM_2,oprM_2,outer membrane protein OprM,GCDEOBMB_02293,DBBBBKPJ_06195,INHMNHHN_01701,PDFLHPBO_00323,FNCGEDBI_05960
pilH,pilH,twitching motility protein PilH,GCDEOBMB_02311,DBBBBKPJ_06177,INHMNHHN_01719,PDFLHPBO_00341,FNCGEDBI_05978
mexR,mexR,multidrug resistance operon repressor MexR,GCDEOBMB_02296,DBBBBKPJ_06192,INHMNHHN_01704,PDFLHPBO_00326,FNCGEDBI_05963
metXA,metXA,Bifunctional methionine biosynthesis protein MetXA/MetW,GCDEOBMB_02332,DBBBBKPJ_06156,INHMNHHN_05653,PDFLHPBO_00362,FNCGEDBI_05999
pilK,pilK,methyltransferase PilK,GCDEOBMB_02308,DBBBBKPJ_06180,INHMNHHN_01716,PDFLHPBO_00338,FNCGEDBI_05975
pyrR,pyrR,bifunctional pyrimidine regulatory protein PyrR/uracil phosphoribosyltransferase,GCDEOBMB_02317,DBBBBKPJ_06171,INHMNHHN_01725,PDFLHPBO_00347,FNCGEDBI_05984
group_4006,,cystathionine gamma-lyase,GCDEOBMB_02320,DBBBBKPJ_06168,INHMNHHN_01728,PDFLHPBO_00350,FNCGEDBI_05987
chpA_1,chpA_1,chemotactic signal transduction system protein,GCDEOBMB_02307,DBBBBKPJ_06181,INHMNHHN_01715,PDFLHPBO_00337,FNCGEDBI_05974
metX,metX,homoserine O-acetyltransferase,GCDEOBMB_02331,DBBBBKPJ_06157,INHMNHHN_05652,PDFLHPBO_00361,FNCGEDBI_05998
yggS,yggS,Pyridoxal phosphate homeostasis protein,GCDEOBMB_02326,DBBBBKPJ_06162,INHMNHHN_01734,PDFLHPBO_00356,FNCGEDBI_05993
group_4005,,hypothetical protein,GCDEOBMB_02315,DBBBBKPJ_06173,INHMNHHN_01723,PDFLHPBO_00345,FNCGEDBI_05982
group_4004,,cytochrome b561,GCDEOBMB_02298,DBBBBKPJ_06190,INHMNHHN_01706,PDFLHPBO_00328,FNCGEDBI_05965
gabP,gabP,gamma-aminobutyrate permease,GCDEOBMB_02346,DBBBBKPJ_05486,INHMNHHN_01184,PDFLHPBO_05672,FNCGEDBI_03079
ppkA,ppkA,serine/threonine protein kinase PpkA,GCDEOBMB_02403,DBBBBKPJ_05542,INHMNHHN_04133,PDFLHPBO_02710,FNCGEDBI_03134
group_3998,,hypothetical protein,GCDEOBMB_02408,DBBBBKPJ_05547,INHMNHHN_04138,PDFLHPBO_02705,FNCGEDBI_03139
group_3997,,hypothetical protein,GCDEOBMB_02401,DBBBBKPJ_05540,INHMNHHN_06177,PDFLHPBO_02712,FNCGEDBI_03132
group_3996,,hypothetical protein,GCDEOBMB_02351,DBBBBKPJ_05491,INHMNHHN_01189,PDFLHPBO_05667,FNCGEDBI_03084
group_3994,,hypothetical protein,GCDEOBMB_02406,DBBBBKPJ_05545,INHMNHHN_04136,PDFLHPBO_02707,FNCGEDBI_03137
group_3993,,hypothetical protein,GCDEOBMB_02374,DBBBBKPJ_05514,INHMNHHN_01212,PDFLHPBO_05644,FNCGEDBI_03107
group_3992,,hypothetical protein,GCDEOBMB_02380,DBBBBKPJ_05520,INHMNHHN_01218,PDFLHPBO_05638,FNCGEDBI_03113
group_3991,,guanine deaminase,GCDEOBMB_02341,DBBBBKPJ_05481,INHMNHHN_01179,PDFLHPBO_05677,FNCGEDBI_03074
yrdA_2,yrdA_2,Protein YrdA,GCDEOBMB_02411,DBBBBKPJ_05550,INHMNHHN_04141,PDFLHPBO_02702,FNCGEDBI_03142
group_3990,,hypothetical protein,GCDEOBMB_02350,DBBBBKPJ_05490,INHMNHHN_01188,PDFLHPBO_05668,FNCGEDBI_03083
group_3989,,hypothetical protein,GCDEOBMB_01021,DBBBBKPJ_04724,INHMNHHN_01143,PDFLHPBO_03930,FNCGEDBI_03038
group_3988,,Putative lipoprotein/NMB1164,GCDEOBMB_02434,DBBBBKPJ_05571,INHMNHHN_04162,PDFLHPBO_02681,FNCGEDBI_03164
group_3986,,transcriptional regulator,GCDEOBMB_02355,DBBBBKPJ_05495,INHMNHHN_01193,PDFLHPBO_05663,FNCGEDBI_03088
group_3985,,putative HTH-type transcriptional regulator,GCDEOBMB_02359,DBBBBKPJ_05499,INHMNHHN_01197,PDFLHPBO_05659,FNCGEDBI_03092
wspR_1,wspR_1,two-component response regulator,GCDEOBMB_01023,DBBBBKPJ_04722,INHMNHHN_01145,PDFLHPBO_03928,FNCGEDBI_03040
group_3984,,hypothetical protein,GCDEOBMB_02353,DBBBBKPJ_05493,INHMNHHN_01191,PDFLHPBO_05665,FNCGEDBI_03086
group_3983,,beta-alanine degradation protein BauB,GCDEOBMB_02344,DBBBBKPJ_05484,INHMNHHN_01182,PDFLHPBO_05674,FNCGEDBI_03077
group_3982,,hypothetical protein,GCDEOBMB_02419,DBBBBKPJ_05558,INHMNHHN_04149,PDFLHPBO_02694,FNCGEDBI_03150
group_3981,,resistance-nodulation-cell division (RND) efflux membrane fusion protein,GCDEOBMB_01034,DBBBBKPJ_04711,INHMNHHN_01156,PDFLHPBO_03917,FNCGEDBI_03051
ctaA,ctaA,Heme A synthase,GCDEOBMB_02363,DBBBBKPJ_05503,INHMNHHN_01201,PDFLHPBO_05655,FNCGEDBI_03096
group_3979,,hypothetical protein,GCDEOBMB_02428,DBBBBKPJ_05565,INHMNHHN_04156,PDFLHPBO_02687,FNCGEDBI_03158
group_3978,,hypothetical protein,GCDEOBMB_02417,DBBBBKPJ_05556,INHMNHHN_04147,PDFLHPBO_02696,FNCGEDBI_03148
group_3977,,hypothetical protein,GCDEOBMB_02433,DBBBBKPJ_05570,INHMNHHN_04161,PDFLHPBO_02682,FNCGEDBI_03163
group_3976,,hypothetical protein,GCDEOBMB_02429,DBBBBKPJ_05566,INHMNHHN_04157,PDFLHPBO_02686,FNCGEDBI_03159
group_3975,,transcriptional regulator,GCDEOBMB_02352,DBBBBKPJ_05492,INHMNHHN_01190,PDFLHPBO_05666,FNCGEDBI_03085
group_3974,,hypothetical protein,GCDEOBMB_02413,DBBBBKPJ_05552,INHMNHHN_04143,PDFLHPBO_02700,FNCGEDBI_03144
group_3973,,hypothetical protein,GCDEOBMB_02415,DBBBBKPJ_05554,INHMNHHN_04145,PDFLHPBO_02698,FNCGEDBI_03146
group_3972,,hypothetical protein,GCDEOBMB_02349,DBBBBKPJ_05489,INHMNHHN_01187,PDFLHPBO_05669,FNCGEDBI_03082
group_3971,,Purine-binding protein,GCDEOBMB_01045,DBBBBKPJ_04700,INHMNHHN_01167,PDFLHPBO_03906,FNCGEDBI_03062
group_3970,,hypothetical protein,GCDEOBMB_01027,DBBBBKPJ_04718,INHMNHHN_01149,PDFLHPBO_03924,FNCGEDBI_03044
group_3969,,cytochrome C oxidase assembly protein,GCDEOBMB_02368,DBBBBKPJ_05508,INHMNHHN_01206,PDFLHPBO_05650,FNCGEDBI_03101
group_3968,,TonB-dependent receptor,GCDEOBMB_01040,DBBBBKPJ_04705,INHMNHHN_01162,PDFLHPBO_03911,FNCGEDBI_03057
pcaR,pcaR,transcriptional regulator PcaR,GCDEOBMB_01036,DBBBBKPJ_04709,INHMNHHN_01158,PDFLHPBO_03915,FNCGEDBI_03053
group_3967,,hypothetical protein,GCDEOBMB_02405,DBBBBKPJ_05544,INHMNHHN_04135,PDFLHPBO_02708,FNCGEDBI_03136
phzH,phzH,phenazine-modifying protein,GCDEOBMB_02427,DBBBBKPJ_05564,INHMNHHN_04155,PDFLHPBO_02688,FNCGEDBI_03157
group_3965,,hypothetical protein,GCDEOBMB_02407,DBBBBKPJ_05546,INHMNHHN_04137,PDFLHPBO_02706,FNCGEDBI_03138
group_3963,,protoheme IX farnesyltransferase,GCDEOBMB_02362,DBBBBKPJ_05502,INHMNHHN_01200,PDFLHPBO_05656,FNCGEDBI_03095
group_3962,,3-oxopropanoate dehydrogenase,GCDEOBMB_02345,DBBBBKPJ_05485,INHMNHHN_01183,PDFLHPBO_05673,FNCGEDBI_03078
group_3961,,hypothetical protein,GCDEOBMB_02398,DBBBBKPJ_05537,INHMNHHN_06174,PDFLHPBO_02715,FNCGEDBI_03129
group_3960,,uricase,GCDEOBMB_02393,DBBBBKPJ_05532,INHMNHHN_01229,PDFLHPBO_05627,FNCGEDBI_03124
hcp1_1,hcp1_1,protein secretion apparatus assembly protein,GCDEOBMB_02392,DBBBBKPJ_05531,INHMNHHN_01228,PDFLHPBO_05628,FNCGEDBI_03123
group_3959,,C4-dicarboxylate transporter DctA,GCDEOBMB_02356,DBBBBKPJ_05496,INHMNHHN_01194,PDFLHPBO_05662,FNCGEDBI_03089
opdC,opdC,histidine porin OpdC,GCDEOBMB_01030,DBBBBKPJ_04715,INHMNHHN_01152,PDFLHPBO_03921,FNCGEDBI_03047
group_3957,,transmembrane sensor,GCDEOBMB_01041,DBBBBKPJ_04704,INHMNHHN_01163,PDFLHPBO_03910,FNCGEDBI_03058
osmC,osmC,osmotically inducible protein OsmC,GCDEOBMB_02418,DBBBBKPJ_05557,INHMNHHN_04148,PDFLHPBO_02695,FNCGEDBI_03149
group_3955,,ABC transporter permease,GCDEOBMB_02339,DBBBBKPJ_05478,INHMNHHN_01176,PDFLHPBO_05680,FNCGEDBI_03071
group_3954,,HTH-type transcriptional activator BauR,GCDEOBMB_02342,DBBBBKPJ_05482,INHMNHHN_01180,PDFLHPBO_05676,FNCGEDBI_03075
pcaQ,pcaQ,transcriptional regulator PcaQ,GCDEOBMB_01039,DBBBBKPJ_04706,INHMNHHN_01161,PDFLHPBO_03912,FNCGEDBI_03056
ahpC,ahpC,alkyl hydroperoxide reductase,GCDEOBMB_02337,DBBBBKPJ_05476,INHMNHHN_01174,PDFLHPBO_05682,FNCGEDBI_03069
group_3953,,hypothetical protein,GCDEOBMB_02389,DBBBBKPJ_05528,INHMNHHN_01225,PDFLHPBO_05631,FNCGEDBI_03120
group_3951,,hypothetical protein,GCDEOBMB_02426,DBBBBKPJ_05563,INHMNHHN_04154,PDFLHPBO_02689,FNCGEDBI_03156
coxB,coxB,cytochrome C oxidase subunit II,GCDEOBMB_02370,DBBBBKPJ_05510,INHMNHHN_01208,PDFLHPBO_05648,FNCGEDBI_03103
senC,senC,cytochrome c oxidase assembly protein SenC,GCDEOBMB_02361,DBBBBKPJ_05501,INHMNHHN_01199,PDFLHPBO_05657,FNCGEDBI_03094
group_3949,,transcriptional regulator,GCDEOBMB_02421,DBBBBKPJ_05560,INHMNHHN_04151,PDFLHPBO_02692,FNCGEDBI_03152
group_3948,,resistance-nodulation-cell division (RND) efflux membrane fusion protein,GCDEOBMB_01035,DBBBBKPJ_04710,INHMNHHN_01157,PDFLHPBO_03916,FNCGEDBI_03052
group_3947,,beta alanine--pyruvate transaminase,GCDEOBMB_02343,DBBBBKPJ_05483,INHMNHHN_01181,PDFLHPBO_05675,FNCGEDBI_03076
group_3946,,hypothetical protein,GCDEOBMB_02399,DBBBBKPJ_05538,INHMNHHN_06175,PDFLHPBO_02714,FNCGEDBI_03130
group_3945,,hypothetical protein,GCDEOBMB_02371,DBBBBKPJ_05511,INHMNHHN_01209,PDFLHPBO_05647,FNCGEDBI_03104
group_3943,,hypothetical protein,GCDEOBMB_02383,DBBBBKPJ_05524,INHMNHHN_01221,PDFLHPBO_05635,FNCGEDBI_03116
clpV1,clpV1,secretion protein ClpV1,GCDEOBMB_02387,DBBBBKPJ_05526,INHMNHHN_01223,PDFLHPBO_05633,FNCGEDBI_03118
group_3942,,ABC transporter permease,GCDEOBMB_02338,DBBBBKPJ_05477,INHMNHHN_01175,PDFLHPBO_05681,FNCGEDBI_03070
group_3941,,hypothetical protein,GCDEOBMB_01031,DBBBBKPJ_04714,INHMNHHN_01153,PDFLHPBO_03920,FNCGEDBI_03048
group_3940,,hypothetical protein,GCDEOBMB_02391,DBBBBKPJ_05530,INHMNHHN_01227,PDFLHPBO_05629,FNCGEDBI_03122
group_3939,,hypothetical protein,GCDEOBMB_02381,DBBBBKPJ_05521,INHMNHHN_01219,PDFLHPBO_05637,FNCGEDBI_03114
group_3938,,hypothetical protein,GCDEOBMB_02348,DBBBBKPJ_05488,INHMNHHN_01186,PDFLHPBO_05670,FNCGEDBI_03081
group_3937,,hypothetical protein,GCDEOBMB_02379,DBBBBKPJ_05519,INHMNHHN_01217,PDFLHPBO_05639,FNCGEDBI_03112
group_3935,,hypothetical protein,GCDEOBMB_02378,DBBBBKPJ_05518,INHMNHHN_01216,PDFLHPBO_05640,FNCGEDBI_03111
group_3934,,hypothetical protein,GCDEOBMB_02364,DBBBBKPJ_05504,INHMNHHN_01202,PDFLHPBO_05654,FNCGEDBI_03097
group_3933,,ABC transporter ATP-binding protein,GCDEOBMB_02404,DBBBBKPJ_05543,INHMNHHN_04134,PDFLHPBO_02709,FNCGEDBI_03135
pcaH,pcaH,protocatechuate 34-dioxygenase subunit beta,GCDEOBMB_01038,DBBBBKPJ_04707,INHMNHHN_01160,PDFLHPBO_03913,FNCGEDBI_03055
group_3932,,hypothetical protein,GCDEOBMB_02416,DBBBBKPJ_05555,INHMNHHN_04146,PDFLHPBO_02697,FNCGEDBI_03147
ppk2,ppk2,Polyphosphate:ADP/GDP phosphotransferase,GCDEOBMB_02335,DBBBBKPJ_05474,INHMNHHN_01172,PDFLHPBO_05684,FNCGEDBI_03067
group_3931,,hypothetical protein,GCDEOBMB_02422,DBBBBKPJ_05561,INHMNHHN_04152,PDFLHPBO_02691,FNCGEDBI_03153
vgrG1_1,vgrG1_1,type VI secretion system protein VgrG,GCDEOBMB_02386,DBBBBKPJ_05525,INHMNHHN_01222,PDFLHPBO_05634,FNCGEDBI_03117
group_3930,,transcriptional regulator,GCDEOBMB_02431,DBBBBKPJ_05568,INHMNHHN_04159,PDFLHPBO_02684,FNCGEDBI_03161
ahpF,ahpF,alkyl hydroperoxide reductase,GCDEOBMB_02336,DBBBBKPJ_05475,INHMNHHN_01173,PDFLHPBO_05683,FNCGEDBI_03068
group_3929,,sulfate transporter,GCDEOBMB_02372,DBBBBKPJ_05512,INHMNHHN_01210,PDFLHPBO_05646,FNCGEDBI_03105
group_3928,,ABC transporter ATP-binding protein,GCDEOBMB_02340,DBBBBKPJ_05479,INHMNHHN_01177,PDFLHPBO_05679,FNCGEDBI_03072
group_3927,,hypothetical protein,GCDEOBMB_02365,DBBBBKPJ_05505,INHMNHHN_01203,PDFLHPBO_05653,FNCGEDBI_03098
group_3926,,hypothetical protein,GCDEOBMB_02390,DBBBBKPJ_05529,INHMNHHN_01226,PDFLHPBO_05630,FNCGEDBI_03121
exoT,exoT,exoenzyme T,GCDEOBMB_02435,DBBBBKPJ_05572,INHMNHHN_04163,PDFLHPBO_02680,FNCGEDBI_03165
group_3925,,putative protein,GCDEOBMB_01022,DBBBBKPJ_04723,INHMNHHN_01144,PDFLHPBO_03929,FNCGEDBI_03039
group_3924,,hypothetical protein,GCDEOBMB_02414,DBBBBKPJ_05553,INHMNHHN_04144,PDFLHPBO_02699,FNCGEDBI_03145
pppA,pppA,serine/threonine phosphatase,GCDEOBMB_02402,DBBBBKPJ_05541,INHMNHHN_06178,PDFLHPBO_02711,FNCGEDBI_03133
group_3923,,carbonic anhydrase,GCDEOBMB_02373,DBBBBKPJ_05513,INHMNHHN_01211,PDFLHPBO_05645,FNCGEDBI_03106
group_3922,,short-chain dehydrogenase,GCDEOBMB_02358,DBBBBKPJ_05498,INHMNHHN_01196,PDFLHPBO_05660,FNCGEDBI_03091
nsaD,nsaD,2-hydroxychromene-2-carboxylate isomerase,GCDEOBMB_02357,DBBBBKPJ_05497,INHMNHHN_01195,PDFLHPBO_05661,FNCGEDBI_03090
group_3921,,ECF subfamily sigma-70 factor,GCDEOBMB_01042,DBBBBKPJ_04703,INHMNHHN_01164,PDFLHPBO_03909,FNCGEDBI_03059
coxA,coxA,cytochrome C oxidase subunit I,GCDEOBMB_02369,DBBBBKPJ_05509,INHMNHHN_01207,PDFLHPBO_05649,FNCGEDBI_03102
group_3919,,transcriptional regulator,GCDEOBMB_01029,DBBBBKPJ_04716,INHMNHHN_01151,PDFLHPBO_03922,FNCGEDBI_03046
group_3918,,resistance-nodulation-cell division (RND) efflux transporter,GCDEOBMB_01033,DBBBBKPJ_04712,INHMNHHN_01155,PDFLHPBO_03918,FNCGEDBI_03050
group_3917,,transcriptional regulator,GCDEOBMB_01032,DBBBBKPJ_04713,INHMNHHN_01154,PDFLHPBO_03919,FNCGEDBI_03049
group_3916,,hypothetical protein,GCDEOBMB_01020,DBBBBKPJ_04725,INHMNHHN_01142,PDFLHPBO_03931,FNCGEDBI_03037
yigZ,yigZ,IMPACT family member YigZ,GCDEOBMB_01024,DBBBBKPJ_04721,INHMNHHN_01146,PDFLHPBO_03927,FNCGEDBI_03041
group_3913,,transcriptional regulator,GCDEOBMB_02354,DBBBBKPJ_05494,INHMNHHN_01192,PDFLHPBO_05664,FNCGEDBI_03087
group_3912,,hypothetical protein,GCDEOBMB_02394,DBBBBKPJ_05533,INHMNHHN_01230,PDFLHPBO_05626,FNCGEDBI_03125
group_3911,,hypothetical protein,GCDEOBMB_02437,DBBBBKPJ_05573,INHMNHHN_04165,PDFLHPBO_02678,FNCGEDBI_03166
group_3910,,gamma-glutamyltranspeptidase,GCDEOBMB_01028,DBBBBKPJ_04717,INHMNHHN_01150,PDFLHPBO_03923,FNCGEDBI_03045
group_3908,,oxidoreductase,GCDEOBMB_01044,DBBBBKPJ_04701,INHMNHHN_01166,PDFLHPBO_03907,FNCGEDBI_03061
elaA,elaA,Protein ElaA,GCDEOBMB_02360,DBBBBKPJ_05500,INHMNHHN_01198,PDFLHPBO_05658,FNCGEDBI_03093
group_3907,,hypothetical protein,GCDEOBMB_02366,DBBBBKPJ_05506,INHMNHHN_01204,PDFLHPBO_05652,FNCGEDBI_03099
prlC,prlC,oligopeptidase A,GCDEOBMB_02410,DBBBBKPJ_05549,INHMNHHN_04140,PDFLHPBO_02703,FNCGEDBI_03141
group_3906,,RNA 2'-phosphotransferase-like protein,GCDEOBMB_02423,DBBBBKPJ_05562,INHMNHHN_04153,PDFLHPBO_02690,FNCGEDBI_03154;FNCGEDBI_03155
group_3905,,adenosine deaminase,GCDEOBMB_01043,DBBBBKPJ_04702,INHMNHHN_01165,PDFLHPBO_03908,FNCGEDBI_03060
icmF1_2,icmF1_2,type VI secretion protein IcmF,GCDEOBMB_02400,DBBBBKPJ_05539,INHMNHHN_06176,PDFLHPBO_02713,FNCGEDBI_03131
group_3904,,hypothetical protein,GCDEOBMB_02395,DBBBBKPJ_05534,INHMNHHN_01231,PDFLHPBO_05625,FNCGEDBI_03126
fha1,fha1;,Fha domain-containing protein;hypothetical protein,GCDEOBMB_02396,DBBBBKPJ_05535,INHMNHHN_01232;INHMNHHN_06172,PDFLHPBO_02717,FNCGEDBI_03127
group_3902,,transporter,GCDEOBMB_01026,DBBBBKPJ_04719,INHMNHHN_01148,PDFLHPBO_03925,FNCGEDBI_03043
group_3901,,Putative lipoprotein/NMB1162,GCDEOBMB_02432,DBBBBKPJ_05569,INHMNHHN_04160,PDFLHPBO_02683,FNCGEDBI_03162
group_3900,,5'-nucleotidase,GCDEOBMB_02412,DBBBBKPJ_05551,INHMNHHN_04142,PDFLHPBO_02701,FNCGEDBI_03143
group_3899,,hypothetical protein,GCDEOBMB_02420,DBBBBKPJ_05559,INHMNHHN_04150,PDFLHPBO_02693,FNCGEDBI_03151
group_3898,,transcriptional regulator,GCDEOBMB_01025,DBBBBKPJ_04720,INHMNHHN_01147,PDFLHPBO_03926,FNCGEDBI_03042
coIII,coIII,cytochrome C oxidase subunit III,GCDEOBMB_02367,DBBBBKPJ_05507,INHMNHHN_01205,PDFLHPBO_05651,FNCGEDBI_03100
group_3895,,hypothetical protein,GCDEOBMB_02438,DBBBBKPJ_05574,INHMNHHN_04166,PDFLHPBO_02677,FNCGEDBI_03167
group_3894,,putative protein,GCDEOBMB_02430,DBBBBKPJ_05567,INHMNHHN_04158,PDFLHPBO_02685,FNCGEDBI_03160
group_3893,,hypothetical protein,GCDEOBMB_02409,DBBBBKPJ_05548,INHMNHHN_04139,PDFLHPBO_02704,FNCGEDBI_03140
group_3891,,hypothetical protein,GCDEOBMB_02388,DBBBBKPJ_05527,INHMNHHN_01224,PDFLHPBO_05632,FNCGEDBI_03119
group_3890,,hypothetical protein,GCDEOBMB_02347,DBBBBKPJ_05487,INHMNHHN_01185,PDFLHPBO_05671,FNCGEDBI_03080
pcaG,pcaG,protocatechuate 34-dioxygenase subunit alpha,GCDEOBMB_01037,DBBBBKPJ_04708,INHMNHHN_01159,PDFLHPBO_03914,FNCGEDBI_03054
group_3889,,hypothetical protein,GCDEOBMB_02397,DBBBBKPJ_05536,INHMNHHN_06173,PDFLHPBO_02716,FNCGEDBI_03128
group_3887,,hypothetical protein,GCDEOBMB_06214,DBBBBKPJ_00966,INHMNHHN_04800,PDFLHPBO_02042,FNCGEDBI_01959
group_3885,,transcriptional regulator,GCDEOBMB_02596,DBBBBKPJ_05039,INHMNHHN_00403,PDFLHPBO_03149,FNCGEDBI_00482
group_3884,,allantoate amidohydrolase,GCDEOBMB_00616,DBBBBKPJ_00183,INHMNHHN_03237,PDFLHPBO_00307,FNCGEDBI_02362
group_3883,,electron transport complex subunit D,GCDEOBMB_06329,DBBBBKPJ_00813,INHMNHHN_02984,PDFLHPBO_05341,FNCGEDBI_00426
potB,potB,polyamine ABC transporter permease PotB,GCDEOBMB_01133,DBBBBKPJ_03100,INHMNHHN_02865,PDFLHPBO_05440,FNCGEDBI_00327
lemA_2,lemA_2,Protein LemA,GCDEOBMB_00710,DBBBBKPJ_00276,INHMNHHN_03332,PDFLHPBO_00158,FNCGEDBI_02457
group_3882,,hypothetical protein,GCDEOBMB_01130,DBBBBKPJ_03103,INHMNHHN_02868,PDFLHPBO_05437,FNCGEDBI_00330
group_3881,,hypothetical protein,GCDEOBMB_05994,DBBBBKPJ_00365,INHMNHHN_03420,PDFLHPBO_00028,FNCGEDBI_02546
ladS,ladS,lost adherence sensor LadS,GCDEOBMB_04121,DBBBBKPJ_00924,INHMNHHN_03464,PDFLHPBO_02085,FNCGEDBI_02055
nosD,nosD,copper-binding periplasmic protein,GCDEOBMB_02638,DBBBBKPJ_04864,INHMNHHN_00445,PDFLHPBO_03107,FNCGEDBI_00524
group_3880,,hypothetical protein,GCDEOBMB_02604,DBBBBKPJ_05047,INHMNHHN_00411,PDFLHPBO_03141,FNCGEDBI_00490
group_3879,,epoxide hydrolase,GCDEOBMB_02600,DBBBBKPJ_05043,INHMNHHN_00407,PDFLHPBO_03145,FNCGEDBI_00486
group_3878,,resistance-nodulation-cell division (RND) efflux transporter,GCDEOBMB_01201,DBBBBKPJ_03031;DBBBBKPJ_03032,INHMNHHN_02797,PDFLHPBO_05508,FNCGEDBI_00259
group_3877,,hypothetical protein,GCDEOBMB_01213,DBBBBKPJ_03019,INHMNHHN_02785,PDFLHPBO_05520,FNCGEDBI_00247
group_3876,,transporter,GCDEOBMB_04109,DBBBBKPJ_00912,INHMNHHN_03476,PDFLHPBO_02097,FNCGEDBI_02067
eno,eno,enolase,GCDEOBMB_01160,DBBBBKPJ_03073,INHMNHHN_02838,PDFLHPBO_05467,FNCGEDBI_00300
xerD,xerD,site-specific tyrosine recombinase XerD,GCDEOBMB_01263,DBBBBKPJ_02968,INHMNHHN_02734,PDFLHPBO_05571,FNCGEDBI_00196
nudL,nudL,putative Nudix hydrolase NudL,GCDEOBMB_01279,DBBBBKPJ_02952,INHMNHHN_02718,PDFLHPBO_05587,FNCGEDBI_00180
hisS,hisS,histidine--tRNA ligase,GCDEOBMB_01328,DBBBBKPJ_02903,INHMNHHN_05188,PDFLHPBO_01368,FNCGEDBI_00125
group_3875,,transcriptional regulator,GCDEOBMB_01421,DBBBBKPJ_02858,INHMNHHN_04027,PDFLHPBO_01413,FNCGEDBI_00028
group_3874,,hypothetical protein,GCDEOBMB_01420,DBBBBKPJ_02859,INHMNHHN_04026,PDFLHPBO_01412,FNCGEDBI_00029
