Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,8CESK0LV,IUSRULWE,MEALYT7M,MTU6F5AX,YMM2RB8W
narG,narG,respiratory nitrate reductase subunit alpha,5,5,1.0,5,32,,,,3786,3786,3786.0,GCDEOBMB_01449,DBBBBKPJ_02830,INHMNHHN_04053,PDFLHPBO_01439,FNCGEDBI_00002
group_3147,,transcriptional regulator,5,5,1.0,5,31,,,,888,888,888.0,GCDEOBMB_01119,DBBBBKPJ_03114,INHMNHHN_02879,PDFLHPBO_05426,FNCGEDBI_00341
purL,purL,phosphoribosylformylglycinamidine synthase,5,5,1.0,5,30,,,,3897,3897,3897.0,GCDEOBMB_01288,DBBBBKPJ_02943,INHMNHHN_02708,PDFLHPBO_05597,FNCGEDBI_00170
group_3146,,acyltransferase,5,5,1.0,5,29,,,,888,888,888.0,GCDEOBMB_00632,DBBBBKPJ_00200,INHMNHHN_03254,PDFLHPBO_00236,FNCGEDBI_02379
group_3145,,hypothetical protein,5,5,1.0,5,28,,,,1272,1272,1272.0,GCDEOBMB_06032,DBBBBKPJ_00326,INHMNHHN_03382,PDFLHPBO_00068,FNCGEDBI_02508
arr,arr,aminoglycoside response regulator,5,5,1.0,5,27,,,,1425,1581,1549.8,GCDEOBMB_01352,DBBBBKPJ_02879,INHMNHHN_04007,PDFLHPBO_01392,FNCGEDBI_00049
hemL,hemL,glutamate-1-semialdehyde aminotransferase,5,5,1.0,5,26,,,,1284,1284,1284.0,GCDEOBMB_04124,DBBBBKPJ_00927,INHMNHHN_03461,PDFLHPBO_02082,FNCGEDBI_02052
group_3144,,hypothetical protein,5,5,1.0,5,25,,,,279,279,279.0,GCDEOBMB_02662,DBBBBKPJ_04840,INHMNHHN_00469,PDFLHPBO_03083,FNCGEDBI_00548
nhaP,nhaP,Na+/H+ antiporter NhaP,5,5,1.0,5,24,,,,1275,1275,1275.0,GCDEOBMB_01463,DBBBBKPJ_02816,INHMNHHN_04067,PDFLHPBO_01453,FNCGEDBI_05581
group_3143,,dihydropyrimidine dehydrogenase,5,5,1.0,5,23,,,,1275,1275,1275.0,GCDEOBMB_00612,DBBBBKPJ_00179,INHMNHHN_03233,PDFLHPBO_00311,FNCGEDBI_02358
group_3142,,peroxidase,5,5,1.0,5,22,,,,603,603,603.0,GCDEOBMB_01053,DBBBBKPJ_00832,INHMNHHN_02947,PDFLHPBO_05360,FNCGEDBI_00407
sahH,sahH,adenosylhomocysteinase,5,5,1.0,5,21,,,,627,1410,1253.4,GCDEOBMB_00605,DBBBBKPJ_00172,INHMNHHN_06201,PDFLHPBO_00318,FNCGEDBI_02351
group_3141,,type III effector protein,5,5,1.0,5,20,,,,339,339,339.0,GCDEOBMB_02589,DBBBBKPJ_05032,INHMNHHN_00396,PDFLHPBO_05894,FNCGEDBI_00475
group_3140,,hypothetical protein,5,5,1.0,5,19,,,,5241,5241,5241.0,GCDEOBMB_01252,DBBBBKPJ_02980,INHMNHHN_02746,PDFLHPBO_05559,FNCGEDBI_00208
group_3139,,hypothetical protein,5,5,1.0,5,18,,,,1278,1278,1278.0,GCDEOBMB_01204,DBBBBKPJ_03028,INHMNHHN_02794,PDFLHPBO_05511,FNCGEDBI_00256
group_3138,,hypothetical protein,5,5,1.0,5,17,,,,891,891,891.0,GCDEOBMB_01489,DBBBBKPJ_02790,INHMNHHN_04093,PDFLHPBO_01479,FNCGEDBI_05607
group_3137,,transcriptional regulator,5,5,1.0,5,16,,,,891,891,891.0,GCDEOBMB_01475,DBBBBKPJ_02804,INHMNHHN_04079,PDFLHPBO_01465,FNCGEDBI_05593
group_3136,,ABC transporter permease,5,5,1.0,5,15,,,,891,891,891.0,GCDEOBMB_01412,DBBBBKPJ_02867,INHMNHHN_04019,PDFLHPBO_01405,FNCGEDBI_00036
fdx2,fdx2,(2Fe-2S) ferredoxin,5,5,1.0,5,14,,,,339,339,339.0,GCDEOBMB_01335,DBBBBKPJ_02896,INHMNHHN_05195,PDFLHPBO_01375,FNCGEDBI_00118
group_3135,,preprotein translocase subunit YajC,5,5,1.0,5,13,,,,339,339,339.0,GCDEOBMB_01348,DBBBBKPJ_02883,INHMNHHN_05208,PDFLHPBO_01388,FNCGEDBI_00105
codA,codA,cytosine deaminase,5,5,1.0,5,12,,,,1281,1281,1281.0,GCDEOBMB_00610,DBBBBKPJ_00177,INHMNHHN_03231,PDFLHPBO_00313,FNCGEDBI_02356
group_3134,,hypothetical protein,5,6,1.2,5,11,,,,504,1596,1330.5,GCDEOBMB_04089;GCDEOBMB_04088,DBBBBKPJ_00892,INHMNHHN_03496,PDFLHPBO_04140,FNCGEDBI_02105
group_3133,,hypothetical protein,5,5,1.0,5,10,,,,339,339,339.0,GCDEOBMB_00737,DBBBBKPJ_00303,INHMNHHN_03359,PDFLHPBO_00131,FNCGEDBI_02484
trpG,trpG,anthranilate synthase component II,5,5,1.0,5,8,,,,606,606,606.0,GCDEOBMB_05986,DBBBBKPJ_00373,INHMNHHN_03428,PDFLHPBO_00020,FNCGEDBI_02581
rhlB_2,rhlB_2,rhamnosyltransferase subunit B,5,5,1.0,5,7,,,,1281,1281,1281.0,GCDEOBMB_02551,DBBBBKPJ_05248,INHMNHHN_02995,PDFLHPBO_05330,FNCGEDBI_00437
group_3131,,transcriptional regulator,5,5,1.0,5,6,,,,894,894,894.0,GCDEOBMB_06191,DBBBBKPJ_00943,INHMNHHN_04822,PDFLHPBO_02065,FNCGEDBI_02036
rhlI,rhlI,acyl-homoserine-lactone synthase,5,5,1.0,5,5,,,,606,606,606.0,GCDEOBMB_02553,DBBBBKPJ_05250,INHMNHHN_02997,PDFLHPBO_05328,FNCGEDBI_00439
group_3130,,transporter,5,5,1.0,5,4,,,,1281,1281,1281.0,GCDEOBMB_01306,DBBBBKPJ_02925,INHMNHHN_05166,PDFLHPBO_01346,FNCGEDBI_00147
group_3129,,hypothetical protein,5,5,1.0,5,3,,,,348,348,348.0,GCDEOBMB_00742,DBBBBKPJ_00308,INHMNHHN_03364,PDFLHPBO_00126,FNCGEDBI_02489
group_3128,,hypothetical protein,5,5,1.0,5,2,,,,342,342,342.0,GCDEOBMB_02632,DBBBBKPJ_04870,INHMNHHN_00439,PDFLHPBO_03113,FNCGEDBI_00518
rnhB,rnhB,ribonuclease HII,5,5,1.0,5,1,,,,606,606,606.0,GCDEOBMB_01167,DBBBBKPJ_03066,INHMNHHN_02831,PDFLHPBO_05474,FNCGEDBI_00293
group_3123,,hypothetical protein,5,5,1.0,2,4438,,,,342,342,342.0,GCDEOBMB_00294,DBBBBKPJ_03869,INHMNHHN_04395,PDFLHPBO_03724,FNCGEDBI_04709
osmY,osmY,Osmotically-inducible protein Y,5,5,1.0,2,4433,,,,345,345,345.0,GCDEOBMB_06062,DBBBBKPJ_01313,INHMNHHN_02289,PDFLHPBO_04657,FNCGEDBI_02993
group_3119,,hypothetical protein,5,5,1.0,2,4432,,,,345,345,345.0,GCDEOBMB_05256,DBBBBKPJ_01216,INHMNHHN_03571,PDFLHPBO_04594,FNCGEDBI_06103
osmE,osmE,OsmE family transcriptional regulator,5,5,1.0,2,4430,,,,345,345,345.0,GCDEOBMB_02254,DBBBBKPJ_01457,INHMNHHN_02434,PDFLHPBO_04799,FNCGEDBI_02850
group_3117,,hypothetical protein,5,5,1.0,2,4429,,,,345,345,345.0,GCDEOBMB_02092,DBBBBKPJ_02696,INHMNHHN_04255,PDFLHPBO_01697,FNCGEDBI_05187
group_3116,,hypothetical protein,5,5,1.0,2,4428,,,,345,345,345.0,GCDEOBMB_00319,DBBBBKPJ_03894,INHMNHHN_04420,PDFLHPBO_03699,FNCGEDBI_04684
group_3115,,hypothetical protein,5,5,1.0,2,4427,,,,345,345,345.0,GCDEOBMB_00295,DBBBBKPJ_03870,INHMNHHN_04396,PDFLHPBO_03723,FNCGEDBI_04708
group_3113,,hypothetical protein,5,5,1.0,2,4425,,,,348,348,348.0,GCDEOBMB_05863,DBBBBKPJ_01276,INHMNHHN_02250,PDFLHPBO_04619,FNCGEDBI_03031
group_3111,,hypothetical protein,5,5,1.0,2,4423,,,,348,348,348.0,GCDEOBMB_04247,DBBBBKPJ_05607,INHMNHHN_00359,PDFLHPBO_05913,FNCGEDBI_04982
group_3110,,hypothetical protein,5,5,1.0,2,4422,,,,348,348,348.0,GCDEOBMB_03372,DBBBBKPJ_04045,INHMNHHN_00119,PDFLHPBO_03340,FNCGEDBI_01612
pscG,pscG,type III export protein PscG,5,5,1.0,2,4421,,,,348,348,348.0,GCDEOBMB_03336,DBBBBKPJ_04081,INHMNHHN_00155,PDFLHPBO_03376,FNCGEDBI_01576
pilY2,pilY2,type 4 fimbrial biogenesis protein PilY2,5,5,1.0,2,4420,,,,348,348,348.0,GCDEOBMB_02874,DBBBBKPJ_03448,INHMNHHN_01960,PDFLHPBO_00438,FNCGEDBI_02219
group_3109,,aldehyde-activating protein,5,5,1.0,2,4419,,,,348,348,348.0,GCDEOBMB_01722,DBBBBKPJ_01826,INHMNHHN_01367,PDFLHPBO_03454,FNCGEDBI_04384
group_3104,,hypothetical protein,5,5,1.0,2,4413,,,,351,351,351.0,GCDEOBMB_04749,DBBBBKPJ_04625,INHMNHHN_02687,PDFLHPBO_00752,FNCGEDBI_00750
yabJ_2,yabJ_2,2-iminobutanoate/2-iminopropanoate deaminase,5,5,1.0,2,4412,,,,351,351,351.0,GCDEOBMB_04706,DBBBBKPJ_04668,INHMNHHN_02645,PDFLHPBO_00709,FNCGEDBI_02641
group_3103,,hypothetical protein,5,5,1.0,2,4409,,,,351,351,351.0,GCDEOBMB_04046,DBBBBKPJ_00795,INHMNHHN_05632,PDFLHPBO_03949,FNCGEDBI_05788
group_3102,,hypothetical protein,5,5,1.0,2,4408,,,,351,351,351.0,GCDEOBMB_03923,DBBBBKPJ_00671,INHMNHHN_01441,PDFLHPBO_02596,FNCGEDBI_00962
arsR,arsR,ArsR family transcriptional regulator,5,5,1.0,2,4407,,,,351,351,351.0,GCDEOBMB_03794,DBBBBKPJ_05980,INHMNHHN_06037,PDFLHPBO_05168,FNCGEDBI_05642
yabJ_3,yabJ_3,2-iminobutanoate/2-iminopropanoate deaminase,5,5,1.0,2,4403,,,,354,354,354.0,GCDEOBMB_05254,DBBBBKPJ_01218,INHMNHHN_03573,PDFLHPBO_04596,FNCGEDBI_06101
amnD,amnD,2-aminomuconate deaminase,5,5,1.0,2,4402,,,,354,354,354.0,GCDEOBMB_01800,DBBBBKPJ_01903,INHMNHHN_01290,PDFLHPBO_03576,FNCGEDBI_04307
group_3095,,hypothetical protein,5,5,1.0,2,4398,,,,357,357,357.0,GCDEOBMB_05679,DBBBBKPJ_03207,INHMNHHN_01617,PDFLHPBO_02435,FNCGEDBI_00771
pilZ,pilZ,type 4 fimbrial biogenesis protein PilZ,5,5,1.0,2,4397,,,,357,357,357.0,GCDEOBMB_05646,DBBBBKPJ_02634,INHMNHHN_04194,PDFLHPBO_01636,FNCGEDBI_05126
group_3093,,hypothetical protein,5,5,1.0,2,4395,,,,357,357,357.0,GCDEOBMB_04392,DBBBBKPJ_04205,INHMNHHN_04562,PDFLHPBO_05288,FNCGEDBI_06048
phhB,phhB,pterin-4-alpha-carbinolamine dehydratase,5,5,1.0,2,4394,,,,357,357,357.0,GCDEOBMB_02010,DBBBBKPJ_02293,INHMNHHN_03634,PDFLHPBO_02254,FNCGEDBI_04191
group_3092,,hypothetical protein,5,5,1.0,2,4393,,,,357,357,357.0,GCDEOBMB_00353,DBBBBKPJ_01238,INHMNHHN_04454,PDFLHPBO_03665,FNCGEDBI_04650
rplT,rplT,50S ribosomal protein L20,5,5,1.0,2,4392,,,,357,357,357.0,GCDEOBMB_00349,DBBBBKPJ_01242,INHMNHHN_04450,PDFLHPBO_03669,FNCGEDBI_04654
group_3086,,hypothetical protein,5,5,1.0,2,4386,,,,360,360,360.0,GCDEOBMB_02125,DBBBBKPJ_02729,INHMNHHN_04288,PDFLHPBO_01730,FNCGEDBI_05220
group_3085,,hypothetical protein,5,5,1.0,2,4385,,,,360,360,360.0,GCDEOBMB_01957,DBBBBKPJ_02346,INHMNHHN_03687,PDFLHPBO_02305,FNCGEDBI_04138
group_3084,,hypothetical protein,5,5,1.0,2,4384,,,,360,360,360.0,GCDEOBMB_00767,DBBBBKPJ_03700,INHMNHHN_02200,PDFLHPBO_01181,FNCGEDBI_04088
group_3076,,hypothetical protein,5,5,1.0,2,4375,,,,363,363,363.0,GCDEOBMB_05265,DBBBBKPJ_01207,INHMNHHN_03562,PDFLHPBO_04585,FNCGEDBI_06112
group_3075,,hypothetical protein,5,5,1.0,2,4374,,,,363,363,363.0,GCDEOBMB_01607,DBBBBKPJ_04511,INHMNHHN_03920,PDFLHPBO_02794,FNCGEDBI_01125
group_3069,,hypothetical protein,5,5,1.0,2,4368,,,,366,366,366.0,GCDEOBMB_03833,DBBBBKPJ_05618,INHMNHHN_04961,PDFLHPBO_03176,FNCGEDBI_06443
yscX,yscX,Yop proteins translocation protein X,5,5,1.0,2,4367,,,,366,366,366.0,GCDEOBMB_03317,DBBBBKPJ_04100,INHMNHHN_00174,PDFLHPBO_03395,FNCGEDBI_01557
lecA,lecA,PA-I galactophilic lectin,5,5,1.0,2,4361,,,,369,369,369.0,GCDEOBMB_02459,DBBBBKPJ_01688,INHMNHHN_05361,PDFLHPBO_04460,FNCGEDBI_03644
group_3063,,drug efflux transporter,5,5,1.0,2,4360,,,,369,369,369.0,GCDEOBMB_01828,DBBBBKPJ_01931,INHMNHHN_01262,PDFLHPBO_03604,FNCGEDBI_04279
group_3062,,hypothetical protein,5,5,1.0,2,4359,,,,369,369,369.0,GCDEOBMB_01559,DBBBBKPJ_04463,INHMNHHN_03872,PDFLHPBO_02842,FNCGEDBI_01173
group_3059,,hypothetical protein,5,5,1.0,2,4356,,,,372,372,372.0,GCDEOBMB_05283,DBBBBKPJ_01189,INHMNHHN_03543,PDFLHPBO_04566,FNCGEDBI_06131
group_3058,,hypothetical protein,5,5,1.0,2,4355,,,,372,372,372.0,GCDEOBMB_04678,DBBBBKPJ_04696,INHMNHHN_02617,PDFLHPBO_00681,FNCGEDBI_02669
group_3056,,hypothetical protein,5,5,1.0,2,4353,,,,372,372,372.0,GCDEOBMB_03358,DBBBBKPJ_04059,INHMNHHN_00133,PDFLHPBO_03354,FNCGEDBI_01598
sycN,sycN,Chaperone protein SycN,5,5,1.0,2,4352,,,,372,372,372.0,GCDEOBMB_03316,DBBBBKPJ_04101,INHMNHHN_00175,PDFLHPBO_03396,FNCGEDBI_01556
group_3055,,translation initiation factor Sui1,5,5,1.0,2,4351,,,,372,372,372.0,GCDEOBMB_02216,DBBBBKPJ_01419,INHMNHHN_02397,PDFLHPBO_04762,FNCGEDBI_02887
group_3053,,hypothetical protein,5,5,1.0,2,4349,,,,372,372,372.0,GCDEOBMB_00320,DBBBBKPJ_03895,INHMNHHN_04421,PDFLHPBO_03698,FNCGEDBI_04683
group_3049,,HxcV pseudopilin,5,5,1.0,2,4345,,,,375,375,375.0,GCDEOBMB_05825,DBBBBKPJ_02066,INHMNHHN_01105,PDFLHPBO_04051,FNCGEDBI_05060
group_3048,,hypothetical protein,5,5,1.0,2,4344,,,,375,375,375.0,GCDEOBMB_05616,DBBBBKPJ_06257,INHMNHHN_06164,PDFLHPBO_06236,FNCGEDBI_03562
cheY,cheY,chemotaxis protein CheY,5,5,1.0,2,4343,,,,375,375,375.0,GCDEOBMB_05583,DBBBBKPJ_03243,INHMNHHN_01580,PDFLHPBO_02471,FNCGEDBI_00808
group_3047,,hypothetical protein,5,5,1.0,2,4342,,,,375,375,375.0,GCDEOBMB_01970,DBBBBKPJ_02333,INHMNHHN_03674,PDFLHPBO_02292,FNCGEDBI_04151
sdhD,sdhD,succinate dehydrogenase subunit D,5,5,1.0,2,4341,,,,375,375,375.0,GCDEOBMB_01785,DBBBBKPJ_01888,INHMNHHN_01305,PDFLHPBO_03516,FNCGEDBI_04322
group_3046,,hypothetical protein,5,5,1.0,2,4340,,,,375,375,375.0,GCDEOBMB_01656,DBBBBKPJ_04560,INHMNHHN_03969,PDFLHPBO_02750,FNCGEDBI_01071
mvaT_1,mvaT_1,transcriptional regulator MvaT,5,5,1.0,2,4339,,,,375,375,375.0,GCDEOBMB_00758,DBBBBKPJ_03709,INHMNHHN_02209,PDFLHPBO_01190,FNCGEDBI_04097
group_3045,,hypothetical protein,5,5,1.0,2,4338,,,,375,375,375.0,GCDEOBMB_00330,DBBBBKPJ_03905,INHMNHHN_04431,PDFLHPBO_03688,FNCGEDBI_04673
group_3042,,hypothetical protein,5,5,1.0,2,4335,,,,378,378,378.0,GCDEOBMB_06120,DBBBBKPJ_01371,INHMNHHN_02346,PDFLHPBO_04715,FNCGEDBI_02935
group_3041,,Cyclic diguanosine monophosphate-binding protein,5,5,1.0,2,4334,,,,378,378,378.0,GCDEOBMB_04227,DBBBBKPJ_03393,INHMNHHN_01905,PDFLHPBO_00383,FNCGEDBI_02274
group_3040,,hypothetical protein,5,5,1.0,2,4333,,,,378,378,378.0,GCDEOBMB_03791,DBBBBKPJ_05983,INHMNHHN_06034,PDFLHPBO_05171,FNCGEDBI_05645
rlpA_1,rlpA_1,Endolytic peptidoglycan transglycosylase RlpA,5,5,1.0,2,4332,,,,378,378,378.0,GCDEOBMB_00931,DBBBBKPJ_03536,INHMNHHN_02036,PDFLHPBO_01017,FNCGEDBI_03924
group_3039,,hypothetical protein,5,5,1.0,2,4331,,,,378,378,378.0,GCDEOBMB_00769,DBBBBKPJ_03698,INHMNHHN_02198,PDFLHPBO_01179,FNCGEDBI_04086
group_3037,,hypothetical protein,5,5,1.0,2,4329,,,,378,378,378.0,GCDEOBMB_00405,DBBBBKPJ_02191,INHMNHHN_01647,PDFLHPBO_02129,FNCGEDBI_03394
group_3034,,5-hydroxyisourate hydrolase,5,5,1.0,2,4326,,,,381,381,381.0,GCDEOBMB_06353,DBBBBKPJ_01954,INHMNHHN_05573,PDFLHPBO_04008,FNCGEDBI_06309
panD,panD,aspartate alpha-decarboxylase,5,5,1.0,2,4325,,,,381,381,381.0,GCDEOBMB_06054,DBBBBKPJ_01305,INHMNHHN_02280,PDFLHPBO_04649,FNCGEDBI_03001
yabJ_4,yabJ_4,2-iminobutanoate/2-iminopropanoate deaminase,5,5,1.0,2,4324,,,,381,381,381.0,GCDEOBMB_05289,DBBBBKPJ_01183,INHMNHHN_03537,PDFLHPBO_04560,FNCGEDBI_06137
group_3033,,hypothetical protein,5,5,1.0,2,4323,,,,381,381,381.0,GCDEOBMB_03368,DBBBBKPJ_04049,INHMNHHN_00123,PDFLHPBO_03344,FNCGEDBI_01608
group_3032,,ring-cleaving dioxygenase,5,5,1.0,2,4322,,,,381,381,381.0,GCDEOBMB_02001,DBBBBKPJ_02302,INHMNHHN_03643,PDFLHPBO_02263,FNCGEDBI_04182
group_3030,,hypothetical protein,5,5,1.0,2,4320,,,,381,381,381.0,GCDEOBMB_00256,DBBBBKPJ_03780,INHMNHHN_06193,PDFLHPBO_03762,FNCGEDBI_04746
group_3027,,hypothetical protein,5,5,1.0,2,4317,,,,384,384,384.0,GCDEOBMB_05309,DBBBBKPJ_01163,INHMNHHN_03517,PDFLHPBO_04540,FNCGEDBI_06157
group_3026,,hypothetical protein,5,5,1.0,2,4316,,,,384,384,384.0,GCDEOBMB_05234,DBBBBKPJ_05316,INHMNHHN_05951,PDFLHPBO_03196,FNCGEDBI_06289
group_3025,,hypothetical protein,5,5,1.0,2,4315,,,,384,384,384.0,GCDEOBMB_03852,DBBBBKPJ_00599,INHMNHHN_04463,PDFLHPBO_02664,FNCGEDBI_01030
mliC,mliC,lysozyme inhibitor,5,5,1.0,2,4314,,,,384,384,384.0,GCDEOBMB_02014,DBBBBKPJ_02289,INHMNHHN_03630,PDFLHPBO_02250,FNCGEDBI_04195
group_3024,,hypothetical protein,5,5,1.0,2,4313,,,,384,384,384.0,GCDEOBMB_01923,DBBBBKPJ_02380,INHMNHHN_03721,PDFLHPBO_02339,FNCGEDBI_04104
ogt_1,ogt_1,Methylated-DNA--protein-cysteine methyltransferase,5,5,1.0,2,4312,,,,384,384,384.0,GCDEOBMB_00837,DBBBBKPJ_03630,INHMNHHN_02130,PDFLHPBO_01111,FNCGEDBI_04018
group_3023,,camphor resistance protein CrcB,5,5,1.0,2,4311,,,,384,384,384.0,GCDEOBMB_00828,DBBBBKPJ_03639,INHMNHHN_02139,PDFLHPBO_01120,FNCGEDBI_04027
group_3018,,hypothetical protein,5,5,1.0,2,4306,,,,387,387,387.0,GCDEOBMB_04011,DBBBBKPJ_00759,INHMNHHN_05597,PDFLHPBO_03984,FNCGEDBI_05823
sdhC,sdhC,succinate dehydrogenase subunit C,5,5,1.0,2,4305,,,,387,387,387.0,GCDEOBMB_01786,DBBBBKPJ_01889,INHMNHHN_01304,PDFLHPBO_03517,FNCGEDBI_04321
pcaC_1,pcaC_1,4-carboxymuconolactone decarboxylase,5,5,1.0,2,4303,,,,387,387,387.0,GCDEOBMB_00932,DBBBBKPJ_03535,INHMNHHN_02035,PDFLHPBO_01016,FNCGEDBI_03923
group_3016,,hypothetical protein,5,5,1.0,2,4302,,,,387,387,387.0,GCDEOBMB_00325,DBBBBKPJ_03900,INHMNHHN_04426,PDFLHPBO_03693,FNCGEDBI_04678
group_3015,,mono-heme cytochrome C,5,5,1.0,2,4300,,,,390,390,390.0,GCDEOBMB_05278,DBBBBKPJ_01194,INHMNHHN_03548,PDFLHPBO_04571,FNCGEDBI_06126
group_3014,,hypothetical protein,5,5,1.0,2,4299,,,,390,390,390.0,GCDEOBMB_05236,DBBBBKPJ_05318,INHMNHHN_05953,PDFLHPBO_03194,FNCGEDBI_06291
group_3013,,thioesterase,5,5,1.0,2,4298,,,,390,390,390.0,GCDEOBMB_05200,DBBBBKPJ_05918,INHMNHHN_04880,PDFLHPBO_00833,FNCGEDBI_03734
group_3011,,hypothetical protein,5,5,1.0,2,4296,,,,390,390,390.0,GCDEOBMB_04211,DBBBBKPJ_03376,INHMNHHN_01889,PDFLHPBO_00367,FNCGEDBI_02290
group_3010,,hypothetical protein,5,5,1.0,2,4295,,,,390,390,390.0,GCDEOBMB_03521,DBBBBKPJ_03976,INHMNHHN_00050,PDFLHPBO_03272,FNCGEDBI_01758
rbfA,rbfA,ribosome-binding factor A,5,5,1.0,2,4292,,,,393,393,393.0,GCDEOBMB_06066,DBBBBKPJ_01317,INHMNHHN_02293,PDFLHPBO_04661,FNCGEDBI_02989
group_3006,,hypothetical protein,5,5,1.0,2,4290,,,,393,393,393.0,GCDEOBMB_05297,DBBBBKPJ_01175,INHMNHHN_03529,PDFLHPBO_04552,FNCGEDBI_06145
group_3005,,hypothetical protein,5,5,1.0,2,4289,,,,393,393,393.0,GCDEOBMB_04425,DBBBBKPJ_04172,INHMNHHN_04595,PDFLHPBO_05255,FNCGEDBI_06015
group_3004,,hypothetical protein,5,5,1.0,2,4288,,,,393,393,393.0,GCDEOBMB_01964,DBBBBKPJ_02339,INHMNHHN_03680,PDFLHPBO_02298,FNCGEDBI_04145
rpsI,rpsI,30S ribosomal protein S9,5,5,1.0,2,4287,,,,393,393,393.0,GCDEOBMB_00877,DBBBBKPJ_03590,INHMNHHN_02090,PDFLHPBO_01071,FNCGEDBI_03978
gloA2,gloA2,lactoylglutathione lyase,5,5,1.0,2,4284,,,,396,396,396.0,GCDEOBMB_05794,DBBBBKPJ_02097,INHMNHHN_01073,PDFLHPBO_04081,FNCGEDBI_05091
aprI,aprI,alkaline proteinase inhibitor AprI,5,5,1.0,2,4283,,,,396,396,396.0,GCDEOBMB_03946,DBBBBKPJ_00694,INHMNHHN_01460,PDFLHPBO_02577,FNCGEDBI_00928
group_3001,,hypothetical protein,5,5,1.0,2,4282,,,,396,396,396.0,GCDEOBMB_00917,DBBBBKPJ_03550,INHMNHHN_02050,PDFLHPBO_01031,FNCGEDBI_03938
cueR_2,cueR_2,protein CueR,5,5,1.0,2,4278,,,,399,399,399.0,GCDEOBMB_06102,DBBBBKPJ_01353,INHMNHHN_02328,PDFLHPBO_04697,FNCGEDBI_02953
group_2997,,NADH-quinone oxidoreductase subunit A,5,5,1.0,2,4277,,,,399,399,399.0,GCDEOBMB_05227,DBBBBKPJ_06247,INHMNHHN_05945,PDFLHPBO_03202,FNCGEDBI_06282
panZ,panZ,PanD regulatory factor,5,5,1.0,2,4275,,,,399,399,399.0,GCDEOBMB_04768,DBBBBKPJ_04606,INHMNHHN_05669,PDFLHPBO_00771,FNCGEDBI_06410
group_2995,,hypothetical protein,5,5,1.0,2,4273,,,,399,399,399.0,GCDEOBMB_04056,DBBBBKPJ_00804,INHMNHHN_05641,PDFLHPBO_03940,FNCGEDBI_05778
group_2994,,methionine sulfoxide reductase B,5,5,1.0,2,4272,,,,399,399,399.0,GCDEOBMB_02167,DBBBBKPJ_02771,INHMNHHN_04330,PDFLHPBO_03773,FNCGEDBI_04871
group_2992,,hypothetical protein,5,5,1.0,2,4270,,,,399,399,399.0,GCDEOBMB_01596,DBBBBKPJ_04500,INHMNHHN_03909,PDFLHPBO_02805,FNCGEDBI_01136
group_2991,,hypothetical protein,5,5,1.0,2,4269,,,,399,399,399.0,GCDEOBMB_00296,DBBBBKPJ_03871,INHMNHHN_04397,PDFLHPBO_03722,FNCGEDBI_04707
group_2987,,hypothetical protein,5,5,1.0,2,4264,,,,402,402,402.0,GCDEOBMB_05302,DBBBBKPJ_01170,INHMNHHN_03524,PDFLHPBO_04547,FNCGEDBI_06150
group_2986,,heat shock protein,5,5,1.0,2,4263,,,,402,402,402.0,GCDEOBMB_05207,DBBBBKPJ_05911,INHMNHHN_04873,PDFLHPBO_00826,FNCGEDBI_03741
group_2985,,hypothetical protein,5,5,1.0,2,4262,,,,402,402,402.0,GCDEOBMB_00808,DBBBBKPJ_03659,INHMNHHN_02159,PDFLHPBO_01140,FNCGEDBI_04047
fur,fur,ferric uptake regulation protein,5,5,1.0,2,4259,,,,405,405,405.0,GCDEOBMB_06088,DBBBBKPJ_01339,INHMNHHN_02315,PDFLHPBO_04683,FNCGEDBI_02967
hisI,hisI,phosphoribosyl-AMP cyclohydrolase,5,5,1.0,2,4258,,,,405,405,405.0,GCDEOBMB_04689,DBBBBKPJ_04685,INHMNHHN_02628,PDFLHPBO_00692,FNCGEDBI_02658
rnk,rnk,nucleoside diphosphate kinase regulator,5,5,1.0,2,4257,,,,405,405,405.0,GCDEOBMB_03291,DBBBBKPJ_05328,INHMNHHN_05963,PDFLHPBO_06112,FNCGEDBI_06072
group_2982,,14-dihydroxy-2-naphthoyl-CoA hydrolase,5,5,1.0,2,4256,,,,405,405,405.0,GCDEOBMB_01515,DBBBBKPJ_02014,INHMNHHN_06134,PDFLHPBO_02887,FNCGEDBI_01287
group_2981,,cell division protein MraZ,5,5,1.0,2,4255,,,,405,405,405.0,GCDEOBMB_00866,DBBBBKPJ_03601,INHMNHHN_02101,PDFLHPBO_01082,FNCGEDBI_03989
icp,icp,inhibitor of cysteine peptidase,5,5,1.0,2,4254,,,,405,405,405.0,GCDEOBMB_00396,DBBBBKPJ_02200,INHMNHHN_01656,PDFLHPBO_02138,FNCGEDBI_03385
group_2980,,hypothetical protein,5,5,1.0,2,4253,,,,405,405,405.0,GCDEOBMB_00271,DBBBBKPJ_03795,INHMNHHN_04371,PDFLHPBO_03747,FNCGEDBI_04731
group_2977,,hypothetical protein,5,5,1.0,2,4250,,,,408,408,408.0,GCDEOBMB_06337,DBBBBKPJ_03234,INHMNHHN_01589,PDFLHPBO_02462,FNCGEDBI_00799
