Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,0F525Q1V,4D4LKLYR,A4O0PUJ2,AWGWLE2V,UE20R4AD
rhlI,rhlI,acyl-homoserine-lactone synthase,5,5,1.0,4,1107,,,,606,606,606.0,INHMNHHN_02997,FNCGEDBI_00439,PDFLHPBO_05328,DBBBBKPJ_05250,GCDEOBMB_02553
group_3834,,hypothetical protein,5,5,1.0,4,1106,,,,894,894,894.0,INHMNHHN_02868,FNCGEDBI_00330,PDFLHPBO_05437,DBBBBKPJ_03103,GCDEOBMB_01130
potB,potB,polyamine ABC transporter permease PotB,5,5,1.0,4,1105,,,,894,894,894.0,INHMNHHN_02865,FNCGEDBI_00327,PDFLHPBO_05440,DBBBBKPJ_03100,GCDEOBMB_01133
hemL,hemL,glutamate-1-semialdehyde aminotransferase,5,5,1.0,4,1104,,,,1284,1284,1284.0,INHMNHHN_03461,FNCGEDBI_02052,PDFLHPBO_02082,DBBBBKPJ_00927,GCDEOBMB_04124
group_3833,,allantoate amidohydrolase,5,5,1.0,4,1103,,,,1284,1284,1284.0,INHMNHHN_03237,FNCGEDBI_02362,PDFLHPBO_00307,DBBBBKPJ_00183,GCDEOBMB_00616
group_3832,,FkbP-type peptidyl-prolyl cis-trans isomerase,5,5,1.0,4,1102,,,,342,342,342.0,INHMNHHN_02756,FNCGEDBI_00218,PDFLHPBO_05549,DBBBBKPJ_02990,GCDEOBMB_01242
lemA_2,lemA_2,Protein LemA,5,5,1.0,4,1101,,,,609,609,609.0,INHMNHHN_03332,FNCGEDBI_02457,PDFLHPBO_00158,DBBBBKPJ_00276,GCDEOBMB_00710
group_3831,,hypothetical protein,5,6,1.2,4,1100,,,,504,1596,1330.5,INHMNHHN_03496,FNCGEDBI_02105,PDFLHPBO_04140,DBBBBKPJ_00892,GCDEOBMB_04088;GCDEOBMB_04089
group_3830,,hypothetical protein,5,5,1.0,4,1099,,,,342,342,342.0,INHMNHHN_00439,FNCGEDBI_00518,PDFLHPBO_03113,DBBBBKPJ_04870,GCDEOBMB_02632
group_3829,,transcriptional regulator,5,5,1.0,4,1098,,,,894,894,894.0,INHMNHHN_00403,FNCGEDBI_00482,PDFLHPBO_03149,DBBBBKPJ_05039,GCDEOBMB_02596
nosD,nosD,copper-binding periplasmic protein,5,5,1.0,4,1096,,,,1287,1287,1287.0,INHMNHHN_00445,FNCGEDBI_00524,PDFLHPBO_03107,DBBBBKPJ_04864,GCDEOBMB_02638
group_3827,,hypothetical protein,5,5,1.0,4,1095,,,,348,348,348.0,INHMNHHN_03364,FNCGEDBI_02489,PDFLHPBO_00126,DBBBBKPJ_00308,GCDEOBMB_00742
group_3826,,oxidoreductase,5,5,1.0,4,1094,,,,1290,1290,1290.0,INHMNHHN_03329,FNCGEDBI_02454,PDFLHPBO_00161,DBBBBKPJ_00273,GCDEOBMB_00707
hisS,hisS,histidine--tRNA ligase,5,5,1.0,4,1093,,,,1290,1290,1290.0,INHMNHHN_05188,FNCGEDBI_00125,PDFLHPBO_01368,DBBBBKPJ_02903,GCDEOBMB_01328
eno,eno,enolase,5,5,1.0,4,1091,,,,1290,1290,1290.0,INHMNHHN_02838,FNCGEDBI_00300,PDFLHPBO_05467,DBBBBKPJ_03073,GCDEOBMB_01160
group_3824,,transporter,5,5,1.0,4,1090,,,,897,897,897.0,INHMNHHN_03476,FNCGEDBI_02067,PDFLHPBO_02097,DBBBBKPJ_00912,GCDEOBMB_04109
group_3823,,chloramphenicol-sensitive protein RarD,5,5,1.0,4,1089,,,,897,897,897.0,INHMNHHN_03279,FNCGEDBI_02404,PDFLHPBO_00211,DBBBBKPJ_00225,GCDEOBMB_00658
group_3822,,hypothetical protein,5,5,1.0,4,1088,,,,276,294,290.4,INHMNHHN_04800,FNCGEDBI_01959,PDFLHPBO_02042,DBBBBKPJ_00966,GCDEOBMB_06214
group_3820,,transcriptional regulator,5,5,1.0,4,1086,,,,897,897,897.0,INHMNHHN_04027,FNCGEDBI_00028,PDFLHPBO_01413,DBBBBKPJ_02858,GCDEOBMB_01421
group_3819,,hypothetical protein,5,5,1.0,4,1085,,,,612,612,612.0,INHMNHHN_04026,FNCGEDBI_00029,PDFLHPBO_01412,DBBBBKPJ_02859,GCDEOBMB_01420
nudL,nudL,putative Nudix hydrolase NudL,5,5,1.0,4,1084,,,,612,612,612.0,INHMNHHN_02718,FNCGEDBI_00180,PDFLHPBO_05587,DBBBBKPJ_02952,GCDEOBMB_01279
group_3818,,hypothetical protein,5,5,1.0,4,1083,,,,345,345,345.0,INHMNHHN_02785,FNCGEDBI_00247,PDFLHPBO_05520,DBBBBKPJ_03019,GCDEOBMB_01213
group_3817,,hypothetical protein,5,5,1.0,4,1082,,,,1293,1293,1293.0,INHMNHHN_02724,FNCGEDBI_00186,PDFLHPBO_05581,DBBBBKPJ_02958,GCDEOBMB_01273
mmsB,mmsB,3-hydroxyisobutyrate dehydrogenase,5,5,1.0,4,1081,,,,897,897,897.0,INHMNHHN_02904,FNCGEDBI_00366,PDFLHPBO_05401,DBBBBKPJ_00873,GCDEOBMB_01094
xerD,xerD,site-specific tyrosine recombinase XerD,5,5,1.0,4,1080,,,,897,897,897.0,INHMNHHN_02734,FNCGEDBI_00196,PDFLHPBO_05571,DBBBBKPJ_02968,GCDEOBMB_01263
group_3816,,hypothetical protein,5,5,1.0,4,1079,,,,345,345,345.0,INHMNHHN_00411,FNCGEDBI_00490,PDFLHPBO_03141,DBBBBKPJ_05047,GCDEOBMB_02604
group_3815,,electron transport complex subunit D,5,5,1.0,4,1078,,,,855,1035,999.0,INHMNHHN_02984,FNCGEDBI_00426,PDFLHPBO_05341,DBBBBKPJ_00813,GCDEOBMB_06329
group_3814,,epoxide hydrolase,5,5,1.0,4,1077,,,,897,897,897.0,INHMNHHN_00407,FNCGEDBI_00486,PDFLHPBO_03145,DBBBBKPJ_05043,GCDEOBMB_02600
ladS,ladS,lost adherence sensor LadS,5,5,1.0,4,1076,,,,2010,2439,2322.6,INHMNHHN_03464,FNCGEDBI_02055,PDFLHPBO_02085,DBBBBKPJ_00924,GCDEOBMB_04121
group_3813,,hypothetical protein,5,5,1.0,4,1075,,,,1296,1296,1296.0,INHMNHHN_02776,FNCGEDBI_00238,PDFLHPBO_05529,DBBBBKPJ_03010,GCDEOBMB_01222
group_3810,,hypothetical protein,5,5,1.0,4,1072,,,,900,900,900.0,INHMNHHN_04064,FNCGEDBI_05578,PDFLHPBO_01450,DBBBBKPJ_02819,GCDEOBMB_01460
group_3809,,resistance-nodulation-cell division (RND) efflux transporter,5,6,1.2,4,1071,,,,1194,3078,2571.5,INHMNHHN_02797,FNCGEDBI_00259,PDFLHPBO_05508,DBBBBKPJ_03032;DBBBBKPJ_03031,GCDEOBMB_01201
arnE,arnE,4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE,5,5,1.0,4,1070,,,,348,348,348.0,INHMNHHN_02919,FNCGEDBI_00379,PDFLHPBO_05388,DBBBBKPJ_00860,GCDEOBMB_01081
yffB,yffB,Protein YffB,5,5,1.0,4,1069,,,,348,348,348.0,INHMNHHN_02809,FNCGEDBI_00271,PDFLHPBO_05496,DBBBBKPJ_03044,GCDEOBMB_01189
group_3808,,hypothetical protein,5,5,1.0,4,1068,,,,348,348,348.0,INHMNHHN_02789,FNCGEDBI_00251,PDFLHPBO_05516,DBBBBKPJ_03023,GCDEOBMB_01209
group_3807,,chloramphenicol-sensitive protein RarD,5,5,1.0,4,1067,,,,900,900,900.0,INHMNHHN_03000,FNCGEDBI_00442,PDFLHPBO_05325,DBBBBKPJ_05253,GCDEOBMB_02556
group_3806,,hypothetical protein,5,5,1.0,4,1066,,,,615,615,615.0,INHMNHHN_03365,FNCGEDBI_02490,PDFLHPBO_00125,DBBBBKPJ_00309,GCDEOBMB_00743
group_3804,,hypothetical protein,5,5,1.0,4,1064,,,,426,426,426.0,INHMNHHN_03352,FNCGEDBI_02477,PDFLHPBO_00138,DBBBBKPJ_00296,GCDEOBMB_00730
group_3803,,Carnitine monooxygenase reductase subunit,5,5,1.0,4,1063,,,,1305,1305,1305.0,INHMNHHN_03340,FNCGEDBI_02465,PDFLHPBO_00150,DBBBBKPJ_00284,GCDEOBMB_00718
hom,hom,homoserine dehydrogenase,5,5,1.0,4,1062,,,,1305,1305,1305.0,INHMNHHN_02737,FNCGEDBI_00199,PDFLHPBO_05568,DBBBBKPJ_02971,GCDEOBMB_01261
eamA_2,eamA_2,putative amino-acid metabolite efflux pump,5,5,1.0,4,1061,,,,903,903,903.0,INHMNHHN_04078,FNCGEDBI_05592,PDFLHPBO_01464,DBBBBKPJ_02805,GCDEOBMB_01474
prfB,prfB,peptide chain release factor 1,5,5,1.0,4,1058,,,,903,903,903.0,INHMNHHN_02772,FNCGEDBI_00234,PDFLHPBO_05533,DBBBBKPJ_03006,GCDEOBMB_01226
group_3800,,hypothetical protein,5,5,1.0,4,1057,,,,384,384,384.0,INHMNHHN_04087,FNCGEDBI_05601,PDFLHPBO_01473,DBBBBKPJ_02796,GCDEOBMB_01483
group_3799,,hypothetical protein,5,5,1.0,4,1056,,,,618,1332,1189.2,INHMNHHN_03243,FNCGEDBI_02368,PDFLHPBO_00301,DBBBBKPJ_00190,GCDEOBMB_00622
group_3798,,chaperone,5,5,1.0,4,1055,,,,351,351,351.0,INHMNHHN_04024,FNCGEDBI_00031,PDFLHPBO_01410,DBBBBKPJ_02863,GCDEOBMB_01416
group_3797,,iron-sulfur cluster insertion protein ErpA,5,5,1.0,4,1054,,,,351,351,351.0,INHMNHHN_03444,FNCGEDBI_02597,PDFLHPBO_00004,DBBBBKPJ_00389,GCDEOBMB_05970
hasAp,hasAp,heme acquisition protein HasA,5,5,1.0,4,1052,,,,618,618,618.0,INHMNHHN_00430,FNCGEDBI_00509,PDFLHPBO_03122,DBBBBKPJ_04879,GCDEOBMB_02623
algD,algD,GDP-mannose 6-dehydrogenase AlgD,5,5,1.0,4,1050,,,,1311,1311,1311.0,INHMNHHN_02936,FNCGEDBI_00396,PDFLHPBO_05371,DBBBBKPJ_00843,GCDEOBMB_01064
rplS,rplS,50S ribosomal protein L19,5,5,1.0,4,1049,,,,351,351,351.0,INHMNHHN_02730,FNCGEDBI_00192,PDFLHPBO_05575,DBBBBKPJ_02964,GCDEOBMB_01267
glpK,glpK,glycerol kinase,5,5,1.0,4,1048,,,,747,1518,1363.8,INHMNHHN_02891,FNCGEDBI_00353,PDFLHPBO_05414,DBBBBKPJ_03126,GCDEOBMB_01107
group_3794,,hypothetical protein,5,5,1.0,4,1047,,,,1314,1314,1314.0,INHMNHHN_04806,FNCGEDBI_01966,PDFLHPBO_02049,DBBBBKPJ_00959,GCDEOBMB_06207
group_3793,,major facilitator superfamily transporter,5,5,1.0,4,1046,,,,1314,1314,1314.0,INHMNHHN_02723,FNCGEDBI_00185,PDFLHPBO_05582,DBBBBKPJ_02957,GCDEOBMB_01274
group_3792,,hypothetical protein,5,5,1.0,4,1045,,,,906,906,906.0,INHMNHHN_02778,FNCGEDBI_00240,PDFLHPBO_05527,DBBBBKPJ_03012,GCDEOBMB_01220
group_3791,,transcriptional regulator,5,5,1.0,4,1044,,,,906,906,906.0,INHMNHHN_02762,FNCGEDBI_00224,PDFLHPBO_05543,DBBBBKPJ_02996,GCDEOBMB_01236
group_3790,,transcriptional regulator,5,5,1.0,4,1043,,,,621,621,621.0,INHMNHHN_03230,FNCGEDBI_02355,PDFLHPBO_00314,DBBBBKPJ_00176,GCDEOBMB_00609
group_3789,,hypothetical protein,5,5,1.0,4,1042,,,,621,621,621.0,INHMNHHN_02742,FNCGEDBI_00204,PDFLHPBO_05563,DBBBBKPJ_02976,GCDEOBMB_01256
group_3788,,hypothetical protein,5,5,1.0,4,1041,,,,354,354,354.0,INHMNHHN_03410,FNCGEDBI_02536,PDFLHPBO_00038,DBBBBKPJ_00354,GCDEOBMB_06004
yhaI,yhaI,Inner membrane protein YhaI,5,5,1.0,4,1040,,,,354,354,354.0,INHMNHHN_03357,FNCGEDBI_02482,PDFLHPBO_00133,DBBBBKPJ_00301,GCDEOBMB_00735
group_3787,,hypothetical protein,5,5,1.0,4,1039,,,,705,705,705.0,INHMNHHN_03475,FNCGEDBI_02066,PDFLHPBO_02096,DBBBBKPJ_00913,GCDEOBMB_04110
group_3786,,transcriptional regulator,5,5,1.0,4,1038,,,,909,909,909.0,INHMNHHN_05161,FNCGEDBI_00152,PDFLHPBO_01341,DBBBBKPJ_02930,GCDEOBMB_01301
group_3785,,multidrug resistance protein,5,5,1.0,4,1037,,,,909,909,909.0,INHMNHHN_04072,FNCGEDBI_05586,PDFLHPBO_01458,DBBBBKPJ_02811,GCDEOBMB_01468
group_3783,,hypothetical protein,5,5,1.0,4,1035,,,,354,354,354.0,INHMNHHN_02810,FNCGEDBI_00272,PDFLHPBO_05495,DBBBBKPJ_03045,GCDEOBMB_01188
group_3781,,transcriptional regulator,5,5,1.0,4,1033,,,,909,909,909.0,INHMNHHN_03240,FNCGEDBI_02365,PDFLHPBO_00304,DBBBBKPJ_00186,GCDEOBMB_00619
gfnR,gfnR,glutathione-dependent formaldehyde neutralization regulator GfnR,5,5,1.0,4,1032,,,,909,909,909.0,INHMNHHN_02843,FNCGEDBI_00305,PDFLHPBO_05462,DBBBBKPJ_03078,GCDEOBMB_01155
group_3780,,amino acid permease,5,5,1.0,4,1031,,,,1323,1323,1323.0,INHMNHHN_02876,FNCGEDBI_00338,PDFLHPBO_05429,DBBBBKPJ_03111,GCDEOBMB_01122
rsfS,rsfS,Ribosomal silencing factor RsfS,5,5,1.0,4,1030,,,,357,357,357.0,INHMNHHN_04812,FNCGEDBI_01972,PDFLHPBO_02055,DBBBBKPJ_00953,GCDEOBMB_06201
lptE,lptE,LPS-assembly lipoprotein LptE,5,5,1.0,4,1029,,,,624,624,624.0,INHMNHHN_03450,FNCGEDBI_02041,PDFLHPBO_02071,DBBBBKPJ_00938,GCDEOBMB_04135
group_3779,,leucine export protein LeuE,5,5,1.0,4,1028,,,,624,624,624.0,INHMNHHN_02808,FNCGEDBI_00270,PDFLHPBO_05497,DBBBBKPJ_03043,GCDEOBMB_01190
group_3778,,glutathione S-transferase,5,5,1.0,4,1027,,,,621,621,621.0,INHMNHHN_03261,FNCGEDBI_02386,PDFLHPBO_00229,DBBBBKPJ_00207,GCDEOBMB_00639
group_3777,,hypothetical protein,5,5,1.0,4,1026,,,,912,912,912.0,INHMNHHN_04032,FNCGEDBI_00023,PDFLHPBO_01418,DBBBBKPJ_02853,GCDEOBMB_01426
group_3776,,transcriptional regulator,5,5,1.0,4,1024,,,,912,912,912.0,INHMNHHN_03358,FNCGEDBI_02483,PDFLHPBO_00132,DBBBBKPJ_00302,GCDEOBMB_00736
surA,surA,chaperone SurA,5,5,1.0,4,1023,,,,1293,1293,1293.0,INHMNHHN_03389,FNCGEDBI_02515,PDFLHPBO_00061,DBBBBKPJ_00333,GCDEOBMB_06025
group_3775,,tRNA(Ile)-lysidine synthase,5,5,1.0,4,1022,,,,1329,1329,1329.0,INHMNHHN_02835,FNCGEDBI_00297,PDFLHPBO_05470,DBBBBKPJ_03070,GCDEOBMB_01163
ybdG,ybdG,Miniconductance mechanosensitive channel YbdG,5,5,1.0,4,1021,,,,1329,1329,1329.0,INHMNHHN_03005,FNCGEDBI_00447,PDFLHPBO_05320,DBBBBKPJ_05258,GCDEOBMB_02561
group_3774,,short-chain dehydrogenase,5,5,1.0,4,1020,,,,912,912,912.0,INHMNHHN_00409,FNCGEDBI_00488,PDFLHPBO_03143,DBBBBKPJ_05045,GCDEOBMB_02602
group_3773,,hypothetical protein,5,5,1.0,4,1019,,,,969,1038,1024.2,INHMNHHN_02957,FNCGEDBI_00417,PDFLHPBO_05350,DBBBBKPJ_00822,GCDEOBMB_06320
group_3771,,ECF subfamily sigma-70 factor,5,5,1.0,4,1017,,,,516,516,516.0,INHMNHHN_00427,FNCGEDBI_00506,PDFLHPBO_03125,DBBBBKPJ_04882,GCDEOBMB_02620
group_3770,,pseudouridine synthase,5,5,1.0,4,1016,,,,627,627,627.0,INHMNHHN_03471,FNCGEDBI_02062,PDFLHPBO_02092,DBBBBKPJ_00917,GCDEOBMB_04114
group_3769,,hypothetical protein,5,5,1.0,4,1015,,,,894,894,894.0,INHMNHHN_02850,FNCGEDBI_00312,PDFLHPBO_05455,DBBBBKPJ_03085,GCDEOBMB_01148
cheB~~~wspR_2,cheB;wspR_2,Protein-glutamate methylesterase/protein-glutamine glutaminase;two-component response regulator,5,5,1.0,4,1014,,,,1044,1083,1051.8,INHMNHHN_02771,FNCGEDBI_00233,PDFLHPBO_05534,DBBBBKPJ_03005,GCDEOBMB_01227
group_3768,,hypothetical protein,5,5,1.0,4,1013,,,,360,360,360.0,INHMNHHN_03409,FNCGEDBI_02535,PDFLHPBO_00039,DBBBBKPJ_00353,GCDEOBMB_06005
nirC,nirC,cytochrome c55X,5,5,1.0,4,1012,,,,360,360,360.0,INHMNHHN_03311,FNCGEDBI_02436,PDFLHPBO_00179,DBBBBKPJ_00255,GCDEOBMB_00688
group_3767,,hypothetical protein,5,5,1.0,4,1011,,,,360,360,360.0,INHMNHHN_02812,FNCGEDBI_00274,PDFLHPBO_05493,DBBBBKPJ_03047,GCDEOBMB_01186
hasE,hasE,metalloprotease secretion protein,5,5,1.0,4,1008,,,,1332,1332,1332.0,INHMNHHN_00432,FNCGEDBI_00511,PDFLHPBO_03120,DBBBBKPJ_04877,GCDEOBMB_02625
group_3765,rutB_2,Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB,5,5,1.0,4,1007,,,,630,630,630.0,INHMNHHN_05169,FNCGEDBI_00144,PDFLHPBO_01349,DBBBBKPJ_02922,GCDEOBMB_01309
group_3764,,aromatic acid decarboxylase,5,5,1.0,4,1006,,,,630,630,630.0,INHMNHHN_04799,FNCGEDBI_01958,PDFLHPBO_02041,DBBBBKPJ_00967,GCDEOBMB_06215
rocA1,rocA1,two-component response regulator RocA1,5,5,1.0,4,1005,,,,630,630,630.0,INHMNHHN_03491,FNCGEDBI_02100,PDFLHPBO_04135,DBBBBKPJ_00897,GCDEOBMB_04094
thiE_2,thiE_2,thiamine-phosphate pyrophosphorylase,5,5,1.0,4,1004,,,,630,630,630.0,INHMNHHN_03462,FNCGEDBI_02053,PDFLHPBO_02083,DBBBBKPJ_00926,GCDEOBMB_04123
group_3763,,hypothetical protein,5,5,1.0,4,1003,,,,630,630,630.0,INHMNHHN_03425,FNCGEDBI_02551,PDFLHPBO_00023,DBBBBKPJ_00370,GCDEOBMB_05989
sttH_1~~~sttH_2,sttH_1;sttH_2,Streptothricin hydrolase,5,5,1.0,4,1002,,,,582,582,582.0,INHMNHHN_03486,FNCGEDBI_02095,PDFLHPBO_04130,DBBBBKPJ_00902,GCDEOBMB_04099
group_3762,,hypothetical protein,5,5,1.0,4,1001,,,,351,351,351.0,INHMNHHN_02752,FNCGEDBI_00214,PDFLHPBO_05553,DBBBBKPJ_02986,GCDEOBMB_01246
group_3761,,carbon-phosphorus lyase complex subunit,5,5,1.0,4,1000,,,,630,630,630.0,INHMNHHN_00459,FNCGEDBI_00538,PDFLHPBO_03093,DBBBBKPJ_04850,GCDEOBMB_02652
nosF,nosF,copper ABC transporter ATP-binding protein,5,5,1.0,4,999,,,,915,915,915.0,INHMNHHN_00444,FNCGEDBI_00523,PDFLHPBO_03108,DBBBBKPJ_04865,GCDEOBMB_02637
group_3760,,hypothetical protein,5,5,1.0,4,998,,,,897,897,897.0,INHMNHHN_05157,FNCGEDBI_00156,PDFLHPBO_01337,DBBBBKPJ_02934,GCDEOBMB_01297
group_3759,,(dimethylallyl)adenosine tRNA methylthiotransferase,5,5,1.0,4,997,,,,1341,1341,1341.0,INHMNHHN_03458,FNCGEDBI_02049,PDFLHPBO_02079,DBBBBKPJ_00930,GCDEOBMB_04127
group_3758,,ATP-dependent RNA helicase,5,5,1.0,4,996,,,,1341,1341,1341.0,INHMNHHN_03007,FNCGEDBI_00449,PDFLHPBO_06252,DBBBBKPJ_05260,GCDEOBMB_02563
group_3757,,transcriptional regulator,5,5,1.0,4,995,,,,918,918,918.0,INHMNHHN_03285,FNCGEDBI_02410,PDFLHPBO_00205,DBBBBKPJ_00231,GCDEOBMB_00664
argF,argF,ornithine carbamoyltransferase,5,5,1.0,4,994,,,,918,918,918.0,INHMNHHN_02939,FNCGEDBI_00399,PDFLHPBO_05368,DBBBBKPJ_00840,GCDEOBMB_01061
dauR,dauR,transcriptional regulator,5,5,1.0,4,993,,,,633,633,633.0,INHMNHHN_04046,FNCGEDBI_00009,PDFLHPBO_01432,DBBBBKPJ_02839,GCDEOBMB_01440
nalD,nalD,transcriptional regulator,5,5,1.0,4,992,,,,171,639,529.2,INHMNHHN_02899,FNCGEDBI_00361,PDFLHPBO_05406,DBBBBKPJ_00878,GCDEOBMB_01099
group_3756,,two-component response regulator,5,5,1.0,4,991,,,,633,633,633.0,INHMNHHN_03396,FNCGEDBI_02522,PDFLHPBO_00052,DBBBBKPJ_00340,GCDEOBMB_06018
pal_1,pal_1,Peptidoglycan-associated lipoprotein,5,5,1.0,4,987,,,,909,966,954.6,INHMNHHN_02950,FNCGEDBI_00410,PDFLHPBO_05357,DBBBBKPJ_00829,GCDEOBMB_06313
group_3752,,transglycosylase,5,5,1.0,4,986,,,,1347,1347,1347.0,INHMNHHN_04824,FNCGEDBI_02038,PDFLHPBO_02067,DBBBBKPJ_00941,GCDEOBMB_06189
secF,secF,preprotein translocase subunit SecF,5,5,1.0,4,985,,,,921,921,921.0,INHMNHHN_05206,FNCGEDBI_00107,PDFLHPBO_01386,DBBBBKPJ_02885,GCDEOBMB_01346
group_3751,,hypothetical protein,5,5,1.0,4,984,,,,438,438,438.0,INHMNHHN_02988,FNCGEDBI_00430,PDFLHPBO_05337,DBBBBKPJ_05241,GCDEOBMB_02544
sfnC,sfnC,putative FMNH2-dependent monooxygenase SfnC,5,5,1.0,4,983,,,,921,921,921.0,INHMNHHN_03500,FNCGEDBI_02109,PDFLHPBO_04144,DBBBBKPJ_00888,GCDEOBMB_04084
group_3750,,transcriptional regulator,5,5,1.0,4,982,,,,921,921,921.0,INHMNHHN_02908,FNCGEDBI_00370,PDFLHPBO_05397,DBBBBKPJ_00869,GCDEOBMB_01090
metR,metR,transcriptional regulator MetR,5,5,1.0,4,981,,,,921,921,921.0,INHMNHHN_02886,FNCGEDBI_00348,PDFLHPBO_05419,DBBBBKPJ_03121,GCDEOBMB_01112
group_3749,,hypothetical protein,5,5,1.0,4,980,,,,102,102,102.0,INHMNHHN_04066,FNCGEDBI_05580,PDFLHPBO_01452,DBBBBKPJ_02817,GCDEOBMB_01462
rhlR,;rhlR,hypothetical protein;transcriptional regulator RhlR,5,5,1.0,4,977,,,,726,927,766.2,INHMNHHN_02996,FNCGEDBI_00438,PDFLHPBO_05329,DBBBBKPJ_05249,GCDEOBMB_02552
group_3746,,ATP-dependent RNA helicase,5,5,1.0,4,976,,,,1350,1350,1350.0,INHMNHHN_03489,FNCGEDBI_02098,PDFLHPBO_04133,DBBBBKPJ_00899,GCDEOBMB_04096
group_3745,,cell division protein FtsB,5,5,1.0,4,975,,,,285,285,285.0,INHMNHHN_02839,FNCGEDBI_00301,PDFLHPBO_05466,DBBBBKPJ_03074,GCDEOBMB_01159
group_3744,,hypothetical protein,5,5,1.0,4,974,,,,552,552,552.0,INHMNHHN_02775,FNCGEDBI_00237,PDFLHPBO_05530,DBBBBKPJ_03009,GCDEOBMB_01223
group_3743,,hypothetical protein,5,5,1.0,4,973,,,,369,369,369.0,INHMNHHN_04015,FNCGEDBI_00041,PDFLHPBO_01400,DBBBBKPJ_02871,GCDEOBMB_01360
group_3742,,hypothetical protein,5,5,1.0,4,972,,,,123,123,123.0,INHMNHHN_02736,FNCGEDBI_00198,PDFLHPBO_05569,DBBBBKPJ_02970,4_refound_66
group_3741,,hypothetical protein,5,5,1.0,4,971,,,,750,750,750.0,INHMNHHN_02722,FNCGEDBI_00184,PDFLHPBO_05583,DBBBBKPJ_02956,GCDEOBMB_01275
aidA,aidA,Quorum-quenching protein AidA,5,5,1.0,4,970,,,,924,924,924.0,INHMNHHN_04011,FNCGEDBI_00045,PDFLHPBO_01396,DBBBBKPJ_02875,GCDEOBMB_01356
mmsR_1,mmsR_1,transcriptional regulator MmsR,5,5,1.0,4,969,,,,924,924,924.0,INHMNHHN_02902,FNCGEDBI_00364,PDFLHPBO_05403,DBBBBKPJ_00875,GCDEOBMB_01096
group_3740,,ABC transporter ATP-binding protein,5,5,1.0,4,968,,,,924,924,924.0,INHMNHHN_02801,FNCGEDBI_00263,PDFLHPBO_05504,DBBBBKPJ_03036,GCDEOBMB_01197
group_3739,,epoxide hydrolase,5,5,1.0,4,967,,,,891,891,891.0,INHMNHHN_04823,FNCGEDBI_02037,PDFLHPBO_02066,DBBBBKPJ_00942,GCDEOBMB_06190
nth,nth,endonuclease III,5,5,1.0,4,966,,,,639,639,639.0,INHMNHHN_02981,FNCGEDBI_00423,PDFLHPBO_05344,DBBBBKPJ_00816,GCDEOBMB_06326
group_3738,,zinc metalloprotease,5,5,1.0,4,965,,,,1353,1353,1353.0,INHMNHHN_02824,FNCGEDBI_00286,PDFLHPBO_05481,DBBBBKPJ_03059,GCDEOBMB_01174
group_3737,,transcriptional regulator,5,5,1.0,4,964,,,,639,639,639.0,INHMNHHN_02795,FNCGEDBI_00257,PDFLHPBO_05510,DBBBBKPJ_03029,GCDEOBMB_01203
group_3733,,hypothetical protein,5,5,1.0,4,960,,,,1356,1356,1356.0,INHMNHHN_04030,FNCGEDBI_00025,PDFLHPBO_01416,DBBBBKPJ_02855,GCDEOBMB_01424
dgkA,dgkA,diacylglycerol kinase,5,5,1.0,4,959,,,,372,372,372.0,INHMNHHN_02870,FNCGEDBI_00332,PDFLHPBO_05435,DBBBBKPJ_03105,GCDEOBMB_01128
group_3732,,antioxidant protein,5,5,1.0,4,958,,,,639,639,639.0,INHMNHHN_00386,FNCGEDBI_00465,PDFLHPBO_05884,DBBBBKPJ_05022,GCDEOBMB_02579
group_3731,,transcriptional regulator,5,5,1.0,4,957,,,,927,927,927.0,INHMNHHN_03271,FNCGEDBI_02396,PDFLHPBO_00219,DBBBBKPJ_00217,GCDEOBMB_00649
aprF_1,aprF_1,alkaline protease secretion protein AprF,5,5,1.0,4,956,,,,1356,1356,1356.0,INHMNHHN_00433,FNCGEDBI_00512,PDFLHPBO_03119,DBBBBKPJ_04876,GCDEOBMB_02626
folX,folX,D-erythro-78-dihydroneopterin triphosphate 2'-epimerase,5,5,1.0,4,955,,,,372,372,372.0,INHMNHHN_00398,FNCGEDBI_00477,PDFLHPBO_05896,DBBBBKPJ_05034,GCDEOBMB_02591
group_3730,,transcriptional regulator,5,5,1.0,4,954,,,,927,927,927.0,INHMNHHN_00440,FNCGEDBI_00519,PDFLHPBO_03112,DBBBBKPJ_04869,GCDEOBMB_02633
creD,creD,Inner membrane protein CreD,5,5,1.0,4,953,,,,1359,1359,1359.0,INHMNHHN_03258,FNCGEDBI_02383,PDFLHPBO_00232,DBBBBKPJ_00204,GCDEOBMB_00636
prtN_1~~~prtN,prtN_1;prtN,transcriptional regulator PrtN,5,5,1.0,4,950,,,,315,315,315.0,INHMNHHN_03405,FNCGEDBI_02531,PDFLHPBO_00043,DBBBBKPJ_00349,GCDEOBMB_06009
group_3728,,HIT family protein,5,5,1.0,4,949,,,,234,339,318.0,INHMNHHN_03435,FNCGEDBI_02588,PDFLHPBO_00013,DBBBBKPJ_00380,GCDEOBMB_05979
