	trimethoprim_sulfamethoxazole	chloramphenicol	erythromycin	clindamycin	penicillin	tetracycline	cefuroxime	meropenem	azithromycin
GCA_901330195.1	1	0	0	0	0	0	2	2	2
GCA_901340935.1	1	0	0	0	0	0	2	2	2
GCA_901330465.1	1	0	1	0	0	0	2	2	2
GCA_901330575.1	1	0	0	0	0	0	2	2	2
GCA_901330725.1	1	0	1	1	1	1	2	2	2
GCA_901331205.1	1	0	0	0	0	0	2	2	2
GCA_901331355.1	1	0	0	0	0	0	2	2	2
GCA_901331465.1	1	0	0	0	0	0	2	2	2
GCA_901331635.1	1	0	0	0	0	0	2	2	2
GCA_901331725.1	1	0	1	1	0	0	2	2	2
GCA_901331815.1	1	0	0	0	0	0	2	2	2
GCA_901292705.1	1	0	0	0	1	0	2	2	2
GCA_901292925.1	1	0	0	0	0	0	2	2	2
GCA_901292995.1	1	0	0	0	0	0	2	2	2
GCA_901293065.1	1	0	0	0	0	0	2	2	2
GCA_901293245.1	1	0	0	0	0	0	2	2	2
GCA_901293325.1	1	0	1	1	0	1	2	2	2
GCA_901293365.1	1	0	0	0	0	0	2	2	2
GCA_901293415.1	1	0	0	0	0	0	2	2	2
GCA_901293545.1	1	0	0	0	0	0	2	2	2
GCA_901293725.1	1	0	0	0	0	0	2	2	2
GCA_901293855.1	1	0	0	0	0	0	2	2	2
GCA_901293945.1	1	0	0	0	0	0	2	2	2
GCA_901294055.1	1	0	0	0	0	0	2	2	2
GCA_901294415.1	1	0	1	0	0	0	2	2	2
GCA_901294425.1	1	0	1	0	1	1	2	2	2
GCA_901294485.1	1	0	0	0	0	0	2	2	2
GCA_901294565.1	1	0	0	0	0	0	2	2	2
GCA_901294635.1	1	0	0	0	1	0	2	2	2
GCA_901294725.1	1	0	0	0	0	0	2	2	2
GCA_901294895.1	1	0	0	0	0	0	2	2	2
GCA_901294945.1	1	0	1	1	1	1	2	2	2
GCA_901294975.1	1	0	0	0	0	0	2	2	2
GCA_901295055.1	1	0	1	1	1	1	2	2	2
GCA_901295115.1	1	0	1	0	0	0	2	2	2
GCA_901295345.1	1	0	0	0	0	0	2	2	2
GCA_901329715.1	1	0	0	0	0	0	2	2	2
GCA_901329765.1	1	0	0	0	0	0	2	2	2
GCA_901295485.1	1	0	0	0	0	0	2	2	2
GCA_901300515.1	1	0	0	0	0	0	2	2	2
GCA_901300905.1	1	0	0	0	0	0	2	2	2
GCA_901300965.1	1	0	1	1	1	1	2	2	2
GCA_901295925.1	1	0	0	0	0	1	2	2	2
GCA_901301215.1	1	0	0	0	0	0	2	2	2
GCA_901332105.1	1	0	0	0	0	0	2	2	2
GCA_901332185.1	1	0	1	1	1	1	2	2	2
GCA_901332355.1	1	0	0	0	0	1	2	2	2
GCA_901332445.1	1	0	0	0	0	0	2	2	2
GCA_901332755.1	1	0	0	0	0	0	2	2	2
GCA_901296015.1	1	0	0	0	0	0	2	2	2
GCA_901296125.1	1	0	0	0	0	1	2	2	2
GCA_901295375.1	1	0	0	0	1	0	2	2	2
GCA_901296295.1	1	0	0	0	0	0	2	2	2
GCA_901296865.1	1	0	0	0	0	0	2	2	2
GCA_901296795.1	1	0	0	0	0	0	2	2	2
GCA_901296955.1	1	0	1	1	1	1	2	2	2
GCA_901297135.1	1	0	0	0	0	1	2	2	2
GCA_901297275.1	1	0	1	1	1	1	2	2	2
GCA_901297355.1	1	0	0	0	1	0	2	2	2
GCA_901297415.1	1	0	0	0	0	0	2	2	2
GCA_901297455.1	1	0	0	0	0	0	2	2	2
GCA_901297565.1	1	0	0	0	0	0	2	2	2
GCA_901297765.1	1	0	0	0	0	0	2	2	2
GCA_901297885.1	1	0	1	1	0	1	2	2	2
GCA_901295715.1	1	0	0	0	0	0	2	2	2
GCA_901298175.1	1	0	0	0	0	0	2	2	2
GCA_901298375.1	1	0	0	0	0	0	2	2	2
GCA_901298645.1	1	0	1	1	1	1	2	2	2
GCA_901298925.1	1	0	0	0	0	0	2	2	2
GCA_901299215.1	1	0	0	0	0	0	2	2	2
GCA_901299325.1	1	0	0	0	1	0	2	2	2
GCA_901299475.1	1	0	1	1	1	1	2	2	2
GCA_901299695.1	1	0	1	1	1	1	2	2	2
GCA_901295815.1	1	0	0	0	0	0	2	2	2
GCA_901299845.1	1	0	0	0	0	0	2	2	2
GCA_901300025.1	1	0	0	0	0	0	2	2	2
GCA_901300125.1	1	0	0	0	0	0	2	2	2
GCA_901300295.1	1	0	1	1	0	1	2	2	2
GCA_901299235.1	1	0	0	0	0	0	2	2	2
GCA_901224115.1	1	1	0	2	0	1	2	2	2
GCA_901300355.1	1	0	0	2	2	2	2	2	2
GCA_901234175.1	1	2	0	2	0	0	2	2	2
GCA_901335245.1	1	0	0	2	2	0	2	2	2
GCA_901232635.1	1	0	0	2	0	0	2	2	2
GCA_901310535.1	1	0	1	2	0	0	2	2	2
GCA_901229975.1	1	0	0	2	0	0	2	2	2
GCA_901297965.1	1	0	0	2	2	2	2	2	2
GCA_900053525.2	1	0	0	2	0	0	2	2	2
GCA_901214545.1	1	0	0	2	0	1	2	2	2
GCA_901316285.1	1	0	0	2	0	0	2	2	2
GCA_901242945.1	1	0	1	2	0	0	2	2	2
GCA_901242425.1	1	0	1	2	0	0	2	2	2
GCA_901232845.1	1	0	1	2	0	0	2	2	2
GCA_901232465.1	1	0	1	2	0	0	2	2	2
GCA_901232035.1	1	0	1	2	0	0	2	2	2
GCA_901231845.1	1	0	1	2	0	0	2	2	2
GCA_901266855.1	1	0	1	2	0	0	2	2	2
GCA_901266255.1	1	0	1	2	1	0	2	2	2
GCA_901243155.1	1	0	1	2	0	0	2	2	2
GCA_901239235.1	1	0	1	2	0	0	2	2	2
GCA_901238855.1	1	0	1	2	1	0	2	2	2
GCA_901287855.1	1	0	0	2	0	1	2	2	2
GCA_901238935.1	1	0	1	2	0	0	2	2	2
GCA_901300715.1	1	0	0	2	2	2	2	2	2
GCA_901260595.1	1	0	0	2	0	1	2	2	2
GCA_901253435.1	1	0	0	2	0	0	2	2	2
GCA_900051225.2	1	0	1	2	0	1	2	2	2
GCA_901334255.1	1	0	1	2	0	1	2	2	2
GCA_901231355.1	1	0	1	2	1	0	2	2	2
GCA_901298355.1	1	0	1	2	2	2	2	2	2
GCA_901287755.1	1	0	0	2	2	0	2	2	2
GCA_901332075.1	1	0	0	2	0	1	2	2	2
GCA_901253005.1	1	0	0	2	0	0	2	2	2
GCA_901265105.1	1	2	0	2	0	0	2	2	2
GCA_901310635.1	1	0	0	2	0	0	2	2	2
GCA_901335015.1	1	0	1	2	2	1	2	2	2
GCA_901283945.1	1	0	0	2	0	0	2	2	2
GCA_900063375.2	1	0	0	2	0	0	2	2	2
GCA_900037005.2	1	0	1	2	1	1	2	2	2
GCA_900055655.2	1	0	1	2	1	1	2	2	2
GCA_901308215.1	1	0	0	2	2	0	2	2	2
GCA_901318635.1	1	0	0	2	0	0	2	2	2
GCA_901287155.1	1	0	0	2	2	1	2	2	2
GCA_901278555.1	1	2	1	2	0	1	2	2	2
GCA_901293745.1	1	0	1	2	0	0	2	2	2
GCA_901269925.1	1	0	1	2	0	1	2	2	2
GCA_901273185.1	1	0	1	2	0	1	2	2	2
GCA_900064655.2	1	0	1	2	0	0	2	2	2
GCA_901235845.1	1	0	1	2	0	0	2	2	2
GCA_901227265.1	1	0	1	2	0	0	2	2	2
GCA_900061245.2	1	0	1	2	0	0	2	2	2
GCA_901321205.1	1	0	1	2	0	0	2	2	2
GCA_901321155.1	1	0	1	2	0	0	2	2	2
GCA_901267365.1	1	0	1	2	0	0	2	2	2
GCA_901262445.1	1	0	1	2	0	0	2	2	2
GCA_900064645.2	1	0	1	2	0	0	2	2	2
GCA_900057155.2	1	0	1	2	0	0	2	2	2
GCA_900054755.2	1	0	1	2	0	0	2	2	2
GCA_900064865.2	1	0	1	2	0	0	2	2	2
GCA_900049065.2	1	0	1	2	0	0	2	2	2
GCA_901230755.1	1	0	1	2	0	0	2	2	2
GCA_901229645.1	1	1	1	2	0	0	2	2	2
GCA_900059695.2	1	0	1	2	0	1	2	2	2
GCA_900033925.2	1	0	0	2	0	0	2	2	2
GCA_900049475.2	1	0	1	2	0	0	2	2	2
GCA_901232275.1	1	0	0	2	0	1	2	2	2
GCA_901335995.1	1	0	1	2	1	1	2	2	2
GCA_901332235.1	1	0	1	2	1	1	2	2	2
GCA_901330615.1	1	0	1	2	1	1	2	2	2
GCA_901331485.1	1	0	0	2	2	2	2	2	2
GCA_901217975.1	1	2	2	2	0	2	2	2	2
GCA_901215165.1	1	2	2	2	0	2	2	2	2
GCA_901226765.1	1	0	0	2	0	0	2	2	2
GCA_901243305.1	1	0	0	2	0	1	2	2	2
GCA_901221645.1	1	0	0	2	0	1	2	2	2
GCA_901340255.1	1	0	0	2	0	0	2	2	2
GCA_901338725.1	1	0	0	2	0	0	2	2	2
GCA_901312845.1	1	0	0	2	0	0	2	2	2
GCA_901251355.1	1	2	0	2	0	0	2	2	2
GCA_901313635.1	1	0	0	2	0	1	2	2	2
GCA_901261565.1	1	0	0	2	0	1	2	2	2
GCA_901284695.1	1	0	1	2	0	1	2	2	2
GCA_901229405.1	1	0	0	2	0	0	2	2	2
GCA_901334325.1	1	0	0	2	0	0	2	2	2
GCA_901333395.1	1	0	0	2	0	0	2	2	2
GCA_901332095.1	1	0	0	2	0	0	2	2	2
GCA_901330865.1	1	0	0	2	0	0	2	2	2
GCA_901338705.1	1	0	0	2	0	0	2	2	2
GCA_901326575.1	1	0	0	2	0	0	2	2	2
GCA_901225235.1	1	0	0	2	0	0	2	2	2
GCA_901223695.1	1	0	0	2	0	0	2	2	2
GCA_901238415.1	1	0	1	2	0	1	2	2	2
GCA_901298215.1	1	0	2	2	2	2	2	2	2
GCA_901316415.1	1	0	0	2	0	1	2	2	2
GCA_901265575.1	1	0	0	2	0	0	2	2	2
GCA_901239435.1	1	0	1	2	1	1	2	2	2
GCA_901334815.1	1	0	0	2	0	0	2	2	2
GCA_901283665.1	1	2	2	2	2	2	2	2	2
GCA_901299365.1	1	2	0	2	0	1	2	2	2
GCA_901254585.1	1	2	0	2	0	0	2	2	2
GCA_901338955.1	1	0	1	2	0	1	2	2	2
GCA_901231215.1	1	0	0	2	2	0	2	2	2
GCA_901263015.1	1	0	0	2	0	1	2	2	2
GCA_901244485.1	1	0	0	2	0	1	2	2	2
GCA_901332595.1	1	0	0	2	0	1	2	2	2
GCA_901220295.1	1	2	2	2	2	2	2	2	2
GCA_901213575.1	1	2	2	2	2	2	2	2	2
GCA_901253375.1	1	0	0	2	0	1	2	2	2
GCA_901219935.1	1	2	2	2	0	2	2	2	2
GCA_900059685.2	1	0	2	2	0	1	2	2	2
GCA_900060265.2	1	0	0	2	0	0	2	2	2
GCA_900060275.2	1	0	0	2	0	0	2	2	2
GCA_901228845.1	1	0	0	2	0	1	2	2	2
GCA_901275595.1	1	0	0	2	0	1	2	2	2
GCA_901242005.1	1	0	0	2	0	1	2	2	2
GCA_901275475.1	1	0	0	2	0	1	2	2	2
GCA_901331405.1	1	0	0	2	0	1	2	2	2
GCA_901277055.1	1	2	2	2	0	2	2	2	2
GCA_901257445.1	1	0	0	2	0	1	2	2	2
GCA_901218315.1	1	2	2	2	0	2	2	2	2
GCA_901275145.1	1	0	0	2	0	1	2	2	2
GCA_901247815.1	1	0	0	2	0	1	2	2	2
GCA_901212985.1	1	2	2	2	2	2	2	2	2
GCA_901216275.1	1	2	2	2	2	2	2	2	2
GCA_901216435.1	1	2	2	2	2	2	2	2	2
GCA_901217455.1	1	2	2	2	0	2	2	2	2
GCA_901218715.1	1	2	1	2	0	1	2	2	2
GCA_901219025.1	1	2	2	2	2	2	2	2	2
GCA_901223505.1	1	2	2	2	2	2	2	2	2
GCA_901235435.1	1	2	2	2	0	2	2	2	2
GCA_901245485.1	1	2	2	2	0	2	2	2	2
GCA_901277545.1	1	2	2	2	0	2	2	2	2
GCA_901284315.1	1	2	2	2	0	2	2	2	2
GCA_901269705.1	1	0	1	2	0	1	2	2	2
GCA_901272685.1	1	0	0	2	0	1	2	2	2
GCA_901276875.1	1	0	0	2	0	1	2	2	2
GCA_901278085.1	1	0	0	2	0	1	2	2	2
GCA_901279505.1	1	0	0	2	0	1	2	2	2
GCA_901280005.1	1	0	0	2	0	1	2	2	2
GCA_901225315.1	1	0	0	2	0	1	2	2	2
GCA_901239325.1	1	2	2	2	0	2	2	2	2
GCA_901242465.1	1	2	2	2	2	2	2	2	2
GCA_901237955.1	1	0	0	2	0	1	2	2	2
GCA_901239615.1	1	0	0	2	0	1	2	2	2
GCA_901317285.1	1	0	0	2	0	1	2	2	2
GCA_900054225.2	1	0	1	2	1	0	2	2	2
GCA_901256525.1	1	2	2	2	0	2	2	2	2
GCA_901227985.1	1	0	0	2	0	0	2	2	2
GCA_901233515.1	1	0	0	2	0	0	2	2	2
GCA_901250485.1	1	0	0	2	0	0	2	2	2
GCA_901227315.1	1	2	0	2	0	0	2	2	2
GCA_901229665.1	1	2	1	2	0	1	2	2	2
GCA_901280375.1	1	2	2	2	0	2	2	2	2
GCA_901248755.1	1	2	2	2	0	2	2	2	2
GCA_901240875.1	1	2	2	2	2	2	2	2	2
GCA_901219185.1	1	2	2	2	2	2	2	2	2
GCA_901214075.1	1	2	2	2	2	2	2	2	2
GCA_901256065.1	1	2	0	2	0	0	2	2	2
GCA_901240295.1	1	2	0	2	0	0	2	2	2
GCA_901239945.1	1	2	0	2	0	0	2	2	2
GCA_901238245.1	1	2	0	2	0	0	2	2	2
GCA_901224045.1	1	2	0	2	0	0	2	2	2
GCA_901223715.1	1	2	0	2	0	0	2	2	2
GCA_901255745.1	1	2	0	2	0	0	2	2	2
GCA_901252885.1	1	2	0	2	0	1	2	2	2
GCA_901248875.1	1	2	0	2	0	0	2	2	2
GCA_901242455.1	1	0	0	2	0	0	2	2	2
GCA_901234675.1	1	0	0	2	0	0	2	2	2
GCA_901339475.1	1	0	0	2	0	0	2	2	2
GCA_901338715.1	1	0	0	2	0	0	2	2	2
GCA_901251025.1	1	0	0	2	0	1	2	2	2
GCA_901237935.1	1	2	0	2	1	0	2	2	2
GCA_901241505.1	1	0	0	2	0	1	2	2	2
GCA_901298885.1	1	0	0	2	2	2	2	2	2
GCA_901331825.1	1	1	1	2	2	2	2	2	2
GCA_901278765.1	1	2	2	2	2	2	2	2	2
GCA_901298415.1	1	0	0	2	2	2	2	2	2
GCA_901245685.1	1	0	0	2	0	1	2	2	2
GCA_901229755.1	1	2	2	2	2	2	2	2	2
GCA_901247575.1	1	0	0	2	1	1	2	2	2
GCA_901248585.1	1	0	0	2	0	1	2	2	2
GCA_901229345.1	1	2	2	2	0	2	2	2	2
GCA_901319335.1	1	0	0	2	0	1	2	2	2
GCA_901320315.1	1	0	0	2	0	1	2	2	2
GCA_901253535.1	1	0	0	2	0	1	2	2	2
GCA_901337525.1	1	0	0	2	0	1	2	2	2
GCA_901258865.1	1	0	0	2	0	1	2	2	2
GCA_901263575.1	1	2	0	2	0	0	2	2	2
GCA_901255065.1	1	0	0	2	0	0	2	2	2
GCA_901287985.1	1	0	1	2	0	0	2	2	2
GCA_901333375.1	1	0	0	2	2	1	2	2	2
GCA_901329195.1	1	0	1	2	1	1	2	2	2
GCA_901329025.1	1	0	1	2	0	1	2	2	2
GCA_901314065.1	1	0	0	2	0	0	2	2	2
GCA_901312065.1	1	0	0	2	0	1	2	2	2
GCA_901287795.1	1	0	0	2	0	1	2	2	2
GCA_901334555.1	1	0	0	2	2	1	2	2	2
GCA_901294555.1	1	0	0	2	0	0	2	2	2
GCA_901286625.1	1	0	0	2	0	0	2	2	2
GCA_901313395.1	1	0	0	2	0	0	2	2	2
GCA_901301155.1	1	0	0	2	2	2	2	2	2
GCA_901340145.1	1	0	0	2	0	0	2	2	2
GCA_901313695.1	1	0	0	2	0	0	2	2	2
GCA_901226585.1	1	2	0	2	0	0	2	2	2
GCA_901274385.1	1	2	0	2	0	0	2	2	2
GCA_901224535.1	1	0	0	2	0	1	2	2	2
GCA_901276925.1	1	0	0	2	0	1	2	2	2
GCA_901298765.1	1	0	0	2	2	2	2	2	2
GCA_901225965.1	1	2	1	2	0	1	2	2	2
GCA_901225295.1	1	2	1	2	0	1	2	2	2
GCA_901309765.1	1	0	0	2	0	0	2	2	2
GCA_901304685.1	1	0	0	2	0	0	2	2	2
GCA_901302935.1	1	0	0	2	2	1	2	2	2
GCA_901300875.1	1	1	0	2	2	2	2	2	2
GCA_901228595.1	1	2	0	2	0	0	2	2	2
GCA_901259755.1	1	2	0	2	0	0	2	2	2
GCA_901255995.1	1	2	0	2	0	0	2	2	2
GCA_901252335.1	1	2	0	2	0	0	2	2	2
GCA_901238335.1	1	2	0	2	0	0	2	2	2
GCA_901252545.1	1	0	0	2	0	0	2	2	2
GCA_901251865.1	1	0	0	2	0	0	2	2	2
GCA_901249565.1	1	0	0	2	0	0	2	2	2
GCA_901246135.1	1	0	0	2	0	0	2	2	2
GCA_901239935.1	1	0	0	2	0	0	2	2	2
GCA_901238865.1	1	0	0	2	0	0	2	2	2
GCA_901339565.1	1	0	0	2	0	0	2	2	2
GCA_901337915.1	1	0	0	2	0	0	2	2	2
GCA_901338845.1	1	0	0	2	0	0	2	2	2
GCA_901336955.1	1	0	0	2	0	1	2	2	2
GCA_901331915.1	1	0	0	2	0	0	2	2	2
GCA_901263655.1	1	0	0	2	0	1	2	2	2
GCA_901249535.1	1	0	0	2	0	1	2	2	2
GCA_901249075.1	1	0	0	2	0	1	2	2	2
GCA_901240575.1	1	2	2	2	0	2	2	2	2
GCA_901280825.1	1	2	2	2	0	2	2	2	2
GCA_901279575.1	1	2	2	2	0	2	2	2	2
GCA_901247635.1	1	2	2	2	0	2	2	2	2
GCA_901234745.1	1	2	2	2	0	2	2	2	2
GCA_901228165.1	1	2	2	2	0	2	2	2	2
GCA_901226955.1	1	2	2	2	0	2	2	2	2
GCA_901222955.1	1	2	2	2	0	2	2	2	2
GCA_901280875.1	1	2	2	2	0	2	2	2	2
GCA_901277845.1	1	2	2	2	0	2	2	2	2
GCA_901230475.1	1	2	2	2	0	2	2	2	2
GCA_901224025.1	1	2	2	2	0	2	2	2	2
GCA_901339495.1	1	0	0	2	0	0	2	2	2
GCA_901338395.1	1	0	0	2	0	0	2	2	2
GCA_901274935.1	1	0	0	2	0	1	2	2	2
GCA_901233165.1	1	2	2	2	2	2	2	2	2
GCA_901281255.1	1	0	0	2	0	1	2	2	2
GCA_901279535.1	1	2	2	2	0	2	2	2	2
GCA_901238105.1	1	0	0	2	0	0	2	2	2
GCA_901244805.1	1	0	0	2	0	1	2	2	2
GCA_901339065.1	1	0	0	2	0	0	2	2	2
GCA_901224785.1	1	2	2	2	2	2	2	2	2
GCA_901261655.1	1	2	2	2	0	2	2	2	2
GCA_901279785.1	1	0	0	2	0	1	2	2	2
GCA_901251485.1	1	0	0	2	0	1	2	2	2
GCA_901259255.1	1	2	2	2	0	2	2	2	2
GCA_901256135.1	1	2	2	2	0	2	2	2	2
GCA_901302475.1	1	2	2	2	0	2	2	2	2
GCA_901282345.1	1	2	2	2	0	2	2	2	2
GCA_901217155.1	1	2	2	2	0	2	2	2	2
GCA_901213225.1	1	2	2	2	0	2	2	2	2
GCA_901276695.1	1	0	0	2	0	0	2	2	2
GCA_901312555.1	1	0	0	2	0	0	2	2	2
GCA_901224555.1	1	0	0	2	0	0	2	2	2
GCA_901279165.1	1	0	0	2	0	1	2	2	2
GCA_901329395.1	1	0	0	2	0	0	2	2	2
GCA_901231755.1	1	2	2	2	2	2	2	2	2
GCA_901250625.1	1	0	0	2	0	1	2	2	2
GCA_901279995.1	1	2	2	2	2	2	2	2	2
GCA_901237275.1	1	2	1	2	0	0	2	2	2
GCA_901217485.1	1	2	2	2	0	2	2	2	2
GCA_901254395.1	1	0	0	2	0	1	2	2	2
GCA_901253605.1	1	2	2	2	2	2	2	2	2
GCA_901321045.1	1	0	1	2	0	1	2	2	2
GCA_901305315.1	1	2	1	2	0	1	2	2	2
GCA_901214425.1	1	2	2	2	0	2	2	2	2
GCA_901278995.1	1	2	2	2	0	2	2	2	2
GCA_901280835.1	1	2	2	2	0	2	2	2	2
GCA_901241165.1	1	2	0	2	0	0	2	2	2
GCA_901339005.1	1	0	0	2	0	0	2	2	2
GCA_901331785.1	1	0	0	2	0	1	2	2	2
GCA_901228195.1	1	2	2	2	2	2	2	2	2
GCA_901257105.1	1	0	0	2	0	1	2	2	2
GCA_901335065.1	1	1	0	2	0	1	2	2	2
GCA_901226745.1	1	2	0	2	0	0	2	2	2
GCA_901329175.1	1	0	0	2	0	0	2	2	2
GCA_901313795.1	1	0	1	2	0	1	2	2	2
GCA_901255485.1	1	2	0	2	0	0	2	2	2
GCA_901335775.1	1	0	0	2	0	1	2	2	2
GCA_901249235.1	1	0	0	2	0	1	2	2	2
GCA_901319395.1	1	0	0	2	0	1	2	2	2
GCA_901277935.1	1	0	0	2	0	1	2	2	2
GCA_901244155.1	1	2	0	2	0	0	2	2	2
GCA_901238885.1	1	2	0	2	0	0	2	2	2
GCA_901227535.1	1	2	0	2	0	0	2	2	2
GCA_901224275.1	1	2	0	2	0	0	2	2	2
GCA_901222995.1	1	2	0	2	0	1	2	2	2
GCA_901255605.1	1	2	0	2	0	0	2	2	2
GCA_901250845.1	1	2	0	2	0	0	2	2	2
GCA_901247045.1	1	2	0	2	0	0	2	2	2
GCA_901302175.1	1	2	2	2	0	2	2	2	2
GCA_901325755.1	1	0	0	2	0	1	2	2	2
GCA_901237125.1	1	0	0	2	0	0	2	2	2
GCA_901236415.1	1	0	0	2	0	0	2	2	2
GCA_901225515.1	1	0	0	2	0	1	2	2	2
GCA_901224165.1	1	0	0	2	0	1	2	2	2
GCA_901338915.1	1	0	0	2	0	0	2	2	2
GCA_901338445.1	1	0	0	2	0	0	2	2	2
GCA_901338165.1	1	0	0	2	0	0	2	2	2
GCA_901337265.1	1	0	0	2	0	1	2	2	2
GCA_901337085.1	1	0	0	2	0	1	2	2	2
GCA_901336725.1	1	0	0	2	0	1	2	2	2
GCA_901335725.1	1	0	0	2	0	1	2	2	2
GCA_901335525.1	1	0	0	2	0	1	2	2	2
GCA_901332985.1	1	0	0	2	0	1	2	2	2
GCA_901331475.1	1	0	0	2	0	1	2	2	2
GCA_901272785.1	1	0	0	2	0	1	2	2	2
GCA_901236355.1	1	0	0	2	0	1	2	2	2
GCA_901317615.1	1	0	0	2	0	1	2	2	2
GCA_901309335.1	1	0	0	2	0	1	2	2	2
GCA_901275745.1	1	0	0	2	0	1	2	2	2
GCA_901247145.1	1	0	0	2	0	1	2	2	2
GCA_901246825.1	1	0	0	2	0	1	2	2	2
GCA_901245995.1	1	0	0	2	0	1	2	2	2
GCA_901235985.1	1	2	2	2	2	2	2	2	2
GCA_901241525.1	1	0	0	2	0	1	2	2	2
GCA_901254045.1	1	0	0	2	0	1	2	2	2
GCA_901236625.1	1	2	0	2	0	0	2	2	2
GCA_901338035.1	1	0	0	2	0	0	2	2	2
GCA_901242615.1	1	0	1	2	0	1	2	2	2
GCA_901222395.1	1	2	2	2	0	2	2	2	2
GCA_901319005.1	1	0	0	2	0	1	2	2	2
GCA_901235565.1	1	0	0	2	0	1	2	2	2
GCA_901281345.1	1	2	2	2	0	2	2	2	2
GCA_901258455.1	1	0	0	2	0	1	2	2	2
GCA_901239165.1	1	2	2	2	0	2	2	2	2
GCA_901314305.1	1	0	0	2	0	1	2	2	2
GCA_901279685.1	1	2	2	2	0	2	2	2	2
GCA_901249975.1	1	2	2	2	0	2	2	2	2
GCA_901240645.1	1	2	2	2	0	2	2	2	2
GCA_901230205.1	1	2	0	2	0	0	2	2	2
GCA_901254065.1	1	0	0	2	0	1	2	2	2
GCA_901234595.1	1	2	2	2	2	2	2	2	2
GCA_901301995.1	1	2	2	2	2	2	2	2	2
GCA_901283435.1	1	2	2	2	2	2	2	2	2
GCA_901236315.1	1	2	0	2	0	0	2	2	2
GCA_901239485.1	1	2	0	2	0	0	2	2	2
GCA_901243685.1	1	2	0	2	0	1	2	2	2
GCA_901281805.1	1	2	2	2	0	2	2	2	2
GCA_901244105.1	1	2	2	2	0	2	2	2	2
GCA_901232425.1	1	0	0	2	0	1	2	2	2
GCA_901252625.1	1	0	0	2	0	1	2	2	2
GCA_901227485.1	1	2	1	2	0	1	2	2	2
GCA_901315205.1	1	0	1	2	0	1	2	2	2
GCA_901233385.1	1	2	2	2	0	2	2	2	2
GCA_901241575.1	1	0	1	2	0	1	2	2	2
GCA_901238915.1	1	0	0	2	0	1	2	2	2
GCA_901278645.1	1	2	1	2	0	1	2	2	2
GCA_901278055.1	1	0	1	2	0	1	2	2	2
GCA_901264385.1	1	0	1	2	1	1	2	2	2
GCA_901229785.1	1	2	1	2	0	1	2	2	2
GCA_901234145.1	1	2	1	2	0	1	2	2	2
GCA_901216145.1	1	2	1	2	0	2	2	2	2
GCA_901212865.1	1	2	1	2	0	1	2	2	2
GCA_901230565.1	1	2	0	2	0	0	2	2	2
GCA_901338755.1	1	0	0	2	0	0	2	2	2
GCA_901331925.1	1	0	0	2	0	1	2	2	2
GCA_901221945.1	1	0	0	2	0	0	2	2	2
GCA_901315835.1	1	0	0	2	0	1	2	2	2
GCA_901279405.1	1	0	0	2	0	1	2	2	2
GCA_901268145.1	1	0	0	2	0	1	2	2	2
GCA_901234945.1	1	2	2	2	2	2	2	2	2
GCA_901214115.1	1	2	2	2	2	2	2	2	2
GCA_901282265.1	1	2	2	2	2	2	2	2	2
GCA_901217295.1	1	2	2	2	2	2	2	2	2
GCA_901226725.1	1	2	2	2	2	2	2	2	2
GCA_901244115.1	1	0	0	2	0	0	2	2	2
GCA_901241935.1	1	0	0	2	0	1	2	2	2
GCA_901337775.1	1	0	0	2	0	0	2	2	2
GCA_901338185.1	1	0	0	2	0	0	2	2	2
GCA_901332905.1	1	0	0	2	0	0	2	2	2
GCA_901332495.1	1	0	0	2	0	0	2	2	2
GCA_901216835.1	1	2	2	2	2	2	2	2	2
GCA_901333945.1	1	0	0	2	0	0	2	2	2
GCA_901333515.1	1	0	0	2	0	0	2	2	2
GCA_901251955.1	1	0	0	2	0	1	2	2	2
GCA_901242605.1	1	2	0	2	0	0	2	2	2
GCA_901311905.1	1	0	1	2	0	1	2	2	2
GCA_901335285.1	1	0	1	2	0	1	2	2	2
GCA_901309035.1	1	0	1	2	0	1	2	2	2
GCA_901240465.1	1	0	1	2	1	1	2	2	2
GCA_901287165.1	1	1	0	2	2	1	2	2	2
GCA_901311235.1	1	0	0	2	2	1	2	2	2
GCA_901329365.1	1	0	0	2	2	2	2	2	2
GCA_901303435.1	1	0	1	2	0	0	2	2	2
GCA_901302665.1	1	2	1	2	0	1	2	2	2
GCA_901253355.1	1	0	1	2	0	1	2	2	2
GCA_901265595.1	1	2	1	2	2	1	2	2	2
GCA_901255825.1	1	1	1	2	0	1	2	2	2
GCA_901224925.1	1	2	1	2	2	1	2	2	2
GCA_901307685.1	1	2	1	2	2	1	2	2	2
GCA_901228795.1	1	2	1	2	0	1	2	2	2
GCA_901305805.1	1	2	1	2	2	1	2	2	2
GCA_901236445.1	1	2	1	2	2	1	2	2	2
GCA_901281665.1	1	2	1	2	2	1	2	2	2
GCA_901275275.1	1	2	1	2	2	1	2	2	2
GCA_901260805.1	1	2	1	2	2	1	2	2	2
GCA_901255585.1	1	0	1	2	0	1	2	2	2
GCA_901243475.1	1	2	1	2	2	1	2	2	2
GCA_901283005.1	1	2	1	2	2	1	2	2	2
GCA_901281165.1	1	2	1	2	0	1	2	2	2
GCA_901248485.1	1	2	2	2	0	2	2	2	2
GCA_901238655.1	1	0	1	2	0	1	2	2	2
GCA_901215695.1	1	2	1	2	2	1	2	2	2
