locus_tag	ftype	length_bp	gene	EC_number	COG	product
INHMNHHN_00824	CDS	513	hpaC			4-hydroxyphenylacetate 3-monooxygenase small subunit
INHMNHHN_00825	CDS	780				hypothetical protein
INHMNHHN_00826	CDS	966				oxidoreductase
INHMNHHN_00827	CDS	1113	vanA_1			vanillate O-demethylase oxygenase
INHMNHHN_00828	CDS	417				hypothetical protein
INHMNHHN_00829	CDS	960				transcriptional regulator
INHMNHHN_00830	CDS	534				hypothetical protein
INHMNHHN_00831	CDS	1260				major facilitator superfamily transporter
INHMNHHN_00832	CDS	1059				alcohol dehydrogenase
INHMNHHN_00833	CDS	726				short-chain dehydrogenase
INHMNHHN_00834	CDS	1305	oprB			porin B
INHMNHHN_00835	CDS	1743				dehydrogenase
INHMNHHN_00836	CDS	753				3-ketoacyl-ACP reductase
INHMNHHN_00837	CDS	876				transcriptional regulator
INHMNHHN_00838	CDS	1245				cyclic di-GMP phosphodiesterase
INHMNHHN_00839	CDS	222				hypothetical protein
INHMNHHN_00840	CDS	891	ampR			transcriptional regulator AmpR
INHMNHHN_00841	CDS	1194	ampC	3.5.2.6		beta-lactamase
INHMNHHN_00842	CDS	399				hypothetical protein
INHMNHHN_00843	CDS	4254				sensor/response regulator hybrid protein
INHMNHHN_00844	CDS	1191				sugar efflux transporter
INHMNHHN_00845	CDS	510				spermidine acetyltransferase
INHMNHHN_00846	CDS	1386	ppnN	3.2.2.-	COG1611	Pyrimidine/purine nucleotide 5'-monophosphate nucleosidase
INHMNHHN_00847	CDS	588	bphO			heme oxygenase BphO
INHMNHHN_00848	CDS	2187	bphP			phytochrome BphP
INHMNHHN_00849	CDS	570				hypothetical protein
INHMNHHN_00850	CDS	807	aph			aminoglycoside 3-N-acetyltransferase
INHMNHHN_00851	CDS	912				transcriptional regulator
INHMNHHN_00852	CDS	660	hpcE_1		COG0179	Homoprotocatechuate catabolism bifunctional isomerase/decarboxylase
INHMNHHN_00853	CDS	780	hpcE_2		COG0179	Homoprotocatechuate catabolism bifunctional isomerase/decarboxylase
INHMNHHN_00854	CDS	1461	hpcC			5-carboxy-2-hydroxymuconate semialdehyde dehydrogenase
INHMNHHN_00855	CDS	924	hpcB			homoprotocatechuate 2,3-dioxygenase
INHMNHHN_00856	CDS	393	hpcD_2			5-carboxymethyl-2-hydroxymuconate isomerase
INHMNHHN_00857	CDS	1305				major facilitator superfamily transporter
INHMNHHN_00858	CDS	804	hpcG			2-oxo-hepta-3-ene-1,7-dioic acid hydratase
INHMNHHN_00859	CDS	807				2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase
INHMNHHN_00860	CDS	489				hypothetical protein
INHMNHHN_00861	CDS	1674				sulfite/nitrite reductase
INHMNHHN_00862	CDS	1431				iron-sulfur protein
INHMNHHN_00863	CDS	1503				transcriptional regulator
INHMNHHN_00864	CDS	1317				major facilitator superfamily transporter
INHMNHHN_00865	CDS	405				acyl-CoA thioesterase
INHMNHHN_00866	CDS	1686	betA	1.1.99.1		choline dehydrogenase
INHMNHHN_00867	CDS	1473	betB	1.2.1.8		betaine aldehyde dehydrogenase
INHMNHHN_00868	CDS	594	betI			BetI family transcriptional regulator
INHMNHHN_00869	CDS	1605	betT1			choline transporter BetT
INHMNHHN_00870	CDS	1179				ABC transporter ATP-binding protein
INHMNHHN_00871	CDS	840				ABC transporter permease
INHMNHHN_00872	CDS	939				glycine betaine-binding protein
INHMNHHN_00873	CDS	1377	sdaB			L-serine dehydratase
INHMNHHN_00874	CDS	1104	gbdR			protein GbdR
INHMNHHN_00875	CDS	249				hypothetical protein
INHMNHHN_00876	CDS	894				transcriptional regulator
INHMNHHN_00877	CDS	1068				hypothetical protein
INHMNHHN_00878	CDS	996				lipolytic protein
INHMNHHN_00879	CDS	480	cdhB			carnitine dehydrogenase
INHMNHHN_00880	CDS	966	cdhA	1.1.1.157		3-hydroxybutyryl-CoA dehydrogenase
INHMNHHN_00881	CDS	885	cdhC			carnitine dehydrogenase
INHMNHHN_00882	CDS	939				glycine betaine-binding protein
INHMNHHN_00883	CDS	1011	cdhR			CdhR family transcriptional regulator
INHMNHHN_00884	CDS	1155		3.5.1.16		acetylornithine deacetylase
INHMNHHN_00885	CDS	675				hypothetical protein
INHMNHHN_00886	CDS	423				hypothetical protein
INHMNHHN_00887	CDS	1353				hypothetical protein
INHMNHHN_00888	CDS	1476	cls			cardiolipin synthetase
INHMNHHN_00889	CDS	471				hypothetical protein
INHMNHHN_00890	CDS	978				dipeptidase
INHMNHHN_00891	CDS	531				hypothetical protein
INHMNHHN_00892	CDS	2061	dgcA			dimethylglycine catabolism protein DgcA
INHMNHHN_00893	CDS	1962	dgcB			dimethylglycine catabolism protein DgcB
INHMNHHN_00894	CDS	1233				electron transfer flavoprotein subunit alpha
INHMNHHN_00895	CDS	774				hypothetical protein
INHMNHHN_00896	CDS	570				hypothetical protein
INHMNHHN_00897	CDS	207				transcriptional regulator
INHMNHHN_00898	CDS	405				hypothetical protein
INHMNHHN_00899	CDS	234				hypothetical protein
INHMNHHN_00900	CDS	234				hypothetical protein
INHMNHHN_00901	CDS	291				hypothetical protein
INHMNHHN_00902	CDS	177				hypothetical protein
INHMNHHN_00903	CDS	561				hypothetical protein
INHMNHHN_00904	CDS	111				hypothetical protein
INHMNHHN_00905	CDS	1290	gbcA			protein GbcA
INHMNHHN_00906	CDS	1101	gbcB			protein GbcB
INHMNHHN_00907	CDS	2442				hypothetical protein
INHMNHHN_00908	CDS	1041	ltaA			low specificity l-threonine aldolase
INHMNHHN_00909	CDS	642				hypothetical protein
INHMNHHN_00910	CDS	1254	glyA1	2.1.2.1		serine hydroxymethyltransferase
INHMNHHN_00911	CDS	1251	soxB			sarcosine oxidase subunit beta
INHMNHHN_00912	CDS	321	soxD			sarcosine oxidase subunit delta
INHMNHHN_00913	CDS	3018	soxA			sarcosine oxidase subunit alpha
INHMNHHN_00914	CDS	636	soxG			sarcosine oxidase subunit gamma
INHMNHHN_00915	CDS	858	purU2	3.5.1.10		formyltetrahydrofolate deformylase
INHMNHHN_00916	CDS	1200	fdhA			glutathione-independent formaldehyde dehydrogenase
INHMNHHN_00917	CDS	918	yeaD_1	5.1.3.15	COG0676	Putative glucose-6-phosphate 1-epimerase
INHMNHHN_00918	CDS	549				hypothetical protein
INHMNHHN_00919	CDS	246				hypothetical protein
INHMNHHN_00920	CDS	1083	purK	4.1.1.21		5-(carboxyamino)imidazole ribonucleotide synthase
INHMNHHN_00921	CDS	492	purE			5-(carboxyamino)imidazole ribonucleotide mutase
INHMNHHN_00922	CDS	1029	adhA			alcohol dehydrogenase
INHMNHHN_00923	CDS	909				transcriptional regulator
INHMNHHN_00924	CDS	1425	aspA	4.3.1.1		aspartate ammonia-lyase
INHMNHHN_00925	CDS	1215				hypothetical protein
INHMNHHN_00926	CDS	1476				transcriptional regulator
INHMNHHN_00927	CDS	450				acetyltransferase
INHMNHHN_00928	CDS	675				hypothetical protein
INHMNHHN_00929	CDS	1197	mtr			tryptophan permease
INHMNHHN_00930	CDS	1824		6.4.1.1		pyruvate carboxylase subunit B
INHMNHHN_00931	CDS	1416		6.4.1.1		acetyl-CoA carboxylase subunit alpha
INHMNHHN_00932	CDS	951				transcriptional regulator
INHMNHHN_00933	CDS	216				hypothetical protein
INHMNHHN_00934	CDS	882				transcriptional regulator
INHMNHHN_00935	CDS	1467				glucose-6-phosphate 1-dehydrogenase
INHMNHHN_00936	CDS	1395				peptidase
INHMNHHN_00937	CDS	726				hypothetical protein
INHMNHHN_00938	CDS	2202				hypothetical protein
INHMNHHN_00939	CDS	2856				hypothetical protein
INHMNHHN_00940	CDS	2187	uvrD			DNA-dependent helicase II
INHMNHHN_00941	CDS	429				hypothetical protein
INHMNHHN_00942	CDS	1494				coenzyme A transferase
INHMNHHN_00943	CDS	204				hypothetical protein
INHMNHHN_00944	CDS	1146	wbpZ			glycosyltransferase WbpZ
INHMNHHN_00945	CDS	1128	wbpY			glycosyltransferase WbpY
INHMNHHN_00946	CDS	1383	wbpX			glycosyltransferase WbpX
INHMNHHN_00947	CDS	1266	wzt			ABC transporter
INHMNHHN_00948	CDS	798	wzm			LPS efflux transporter membrane protein
INHMNHHN_00949	CDS	1440	wbpW			phosphomannose isomerase/mannose-1-phosphate guanylyl transferase
INHMNHHN_00950	CDS	381	gmd			GDP-mannose 4,6-dehydratase
INHMNHHN_00951	CDS	915	rmd			oxidoreductase Rmd
INHMNHHN_00952	CDS	1623				hypothetical protein
INHMNHHN_00953	CDS	1302				hypothetical protein
INHMNHHN_00954	CDS	864	COQ3_1	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
INHMNHHN_00955	CDS	1143				acyltransferase
INHMNHHN_00956	CDS	837	COQ3_2	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
INHMNHHN_00957	CDS	213				hypothetical protein
INHMNHHN_00958	CDS	318				hypothetical protein
INHMNHHN_00959	CDS	294				hypothetical protein
INHMNHHN_00960	CDS	336				hypothetical protein
INHMNHHN_00961	CDS	1959				hypothetical protein
INHMNHHN_00962	CDS	420				hypothetical protein
INHMNHHN_00963	CDS	945				hypothetical protein
INHMNHHN_00964	CDS	363				hypothetical protein
INHMNHHN_00965	CDS	1305				citrate transporter
INHMNHHN_00966	CDS	765				hypothetical protein
INHMNHHN_00967	CDS	615				peptide chain release factor-like protein
INHMNHHN_00968	CDS	1140	rtcB_1	6.5.1.-	COG1690	RNA-splicing ligase RtcB
INHMNHHN_00969	CDS	795				hypothetical protein
INHMNHHN_00970	CDS	1749				hypothetical protein
INHMNHHN_00971	CDS	1374				metalloprotease
INHMNHHN_00972	CDS	561	patZ	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase PatZ
INHMNHHN_00973	CDS	1290	citA			citrate transporter
INHMNHHN_00974	CDS	1041				hypothetical protein
INHMNHHN_00975	CDS	1230				hypothetical protein
INHMNHHN_00976	CDS	1335	gltP			glutamate/aspartate:proton symporter
INHMNHHN_00977	CDS	468	ivy_1			Inhibitor of vertebrate lysozyme
INHMNHHN_00978	CDS	162				hypothetical protein
INHMNHHN_00979	CDS	1350	algB			two-component response regulator AlgB
INHMNHHN_00980	CDS	1788				two-component sensor
INHMNHHN_00981	CDS	780	ampDh2			protein AmpDh2
INHMNHHN_00982	CDS	594				hypothetical protein
INHMNHHN_00983	CDS	2016				hypothetical protein
INHMNHHN_00984	CDS	879				hypothetical protein
INHMNHHN_00985	CDS	636	dsbA			thiol:disulfide interchange protein DsbA
INHMNHHN_00986	CDS	606	cc4			cytochrome C4
INHMNHHN_00987	CDS	294				cytochrome
INHMNHHN_00988	CDS	648				ribosome biogenesis GTP-binding protein YsxC
INHMNHHN_00989	CDS	2742	polA			DNA polymerase I
INHMNHHN_00990	CDS	291				hypothetical protein
INHMNHHN_00991	CDS	951	thrB	2.7.1.39		homoserine kinase
INHMNHHN_00992	CDS	690				hypothetical protein
INHMNHHN_00993	CDS	2205	nrdJa			ribonucleoside-diphosphate reductase
INHMNHHN_00994	CDS	924				adhesin
INHMNHHN_00995	CDS	504	np20			transcriptional regulator
INHMNHHN_00996	CDS	810	znuC			zinc transporter ZnuC
INHMNHHN_00997	CDS	789	znuB			zinc ABC transporter permease
INHMNHHN_00998	CDS	792				hypothetical protein
INHMNHHN_00999	CDS	1008				ABC transporter ATP-binding protein
INHMNHHN_01000	CDS	678				D-methionine ABC transporter
INHMNHHN_01001	CDS	783				TonB-dependent receptor
INHMNHHN_01002	CDS	858				hypothetical protein
INHMNHHN_01003	CDS	654	rutB_1	3.5.1.110	COG1335	Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
INHMNHHN_01004	CDS	1332				glutamine synthetase
INHMNHHN_01005	CDS	753				hypothetical protein
INHMNHHN_01006	CDS	1350				transporter
INHMNHHN_01007	CDS	1344	mifR			DNA-binding response regulator MifR
INHMNHHN_01008	tRNA	95				tRNA-Ala(cgc)
INHMNHHN_01009	CDS	879				hydrolase
INHMNHHN_01010	CDS	789				beta-lactamase
INHMNHHN_01011	CDS	501				hypothetical protein
INHMNHHN_01012	CDS	873	pdxY	2.7.1.35		pyridoxamine kinase
INHMNHHN_01013	CDS	1203				hypothetical protein
INHMNHHN_01014	CDS	585				hypothetical protein
INHMNHHN_01015	CDS	1704				potassium efflux transporter
INHMNHHN_01016	CDS	483				acyl-CoA thioesterase
INHMNHHN_01017	CDS	750				hypothetical protein
INHMNHHN_01018	CDS	759				short-chain dehydrogenase
INHMNHHN_01019	CDS	1368				glutamine synthetase
INHMNHHN_01020	CDS	1395				aminotransferase
INHMNHHN_01021	CDS	783				short-chain dehydrogenase
INHMNHHN_01022	CDS	681				transcriptional regulator
INHMNHHN_01023	CDS	213				hypothetical protein
INHMNHHN_01024	CDS	402				hypothetical protein
INHMNHHN_01025	CDS	855				hypothetical protein
INHMNHHN_01026	CDS	1758				sodium/proton antiporter
INHMNHHN_01027	CDS	1308				MFS dicarboxylate transporter
INHMNHHN_01028	CDS	1032	tonB1			transporter TonB
INHMNHHN_01029	CDS	969	yeiR	3.6.-.-	COG0523	Zinc-binding GTPase YeiR
INHMNHHN_01030	CDS	369				hypothetical protein
INHMNHHN_01031	CDS	642				hypothetical protein
INHMNHHN_01032	CDS	1203	yciC		COG0523	Putative metal chaperone YciC
INHMNHHN_01033	CDS	405	dksA_1			suppressor protein DksA
INHMNHHN_01034	CDS	231				hypothetical protein
INHMNHHN_01035	CDS	1194	amiA			N-acetylmuramoyl-L-alanine amidase
INHMNHHN_01036	CDS	897				GTP cyclohydrolase
INHMNHHN_01037	CDS	561	ccmM		COG0663	Carbon dioxide concentrating mechanism protein CcmM
INHMNHHN_01038	CDS	1338	pyrQ	3.5.2.3		dihydroorotase
INHMNHHN_01039	CDS	1245	nylB'	3.5.1.46		6-aminohexanoate-dimer hydrolase
INHMNHHN_01040	CDS	399				hypothetical protein
INHMNHHN_01041	CDS	2025				hypothetical protein
INHMNHHN_01042	CDS	960				hypothetical protein
INHMNHHN_01043	CDS	1185	COQ3_3	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
INHMNHHN_01044	CDS	624				hypothetical protein
INHMNHHN_01045	CDS	1206				major facilitator superfamily transporter
INHMNHHN_01046	CDS	1836	glmS	2.6.1.16		glucosamine--fructose-6-phosphate aminotransferase
INHMNHHN_01047	CDS	774	glmR			GlmR transcriptional regulator
INHMNHHN_01048	CDS	510				hypothetical protein
INHMNHHN_01049	CDS	1365	glmU			bifunctional glucosamine-1-phosphate acetyltransferase/N-acetylglucosamine-1-phosphate uridyltransferase
INHMNHHN_01050	CDS	426	atpC	3.6.3.14		ATP synthase subunit epsilon
INHMNHHN_01051	CDS	1377	atpD	3.6.3.14		ATP synthase subunit beta
INHMNHHN_01052	CDS	861	atpG	3.6.3.14		ATP synthase subunit gamma
INHMNHHN_01053	CDS	1545	atpA	3.6.3.14		ATP synthase subunit alpha
INHMNHHN_01054	CDS	537	atpH	3.6.3.14		ATP synthase subunit delta
INHMNHHN_01055	CDS	471	atpF	3.6.3.14		ATP synthase subunit B
INHMNHHN_01056	CDS	258	atpE	3.6.3.14		ATP synthase subunit C
INHMNHHN_01057	CDS	870	atpB	3.6.3.14		ATP synthase subunit A
INHMNHHN_01058	CDS	381	atpI	3.6.3.14		ATP synthase subunit I
INHMNHHN_01059	CDS	873	spoOJ			chromosome partitioning protein
INHMNHHN_01060	CDS	789	soj_1			chromosome partitioning protein Soj
INHMNHHN_01061	CDS	645	gidB			16S rRNA methyltransferase GidB
INHMNHHN_01062	CDS	1893	gidA			tRNA uridine 5-carboxymethylaminomethyl modification protein GidA
INHMNHHN_01063	CDS	225				hypothetical protein
INHMNHHN_01064	CDS	252				hypothetical protein
INHMNHHN_01065	CDS	93				hypothetical protein
INHMNHHN_01066	CDS	435				helix destabilizing protein of bacteriophage Pf1
INHMNHHN_01067	CDS	174				hypothetical protein
INHMNHHN_01068	CDS	216				hypothetical protein
INHMNHHN_01069	CDS	1296				hypothetical protein
INHMNHHN_01070	CDS	423				hypothetical protein
INHMNHHN_01071	CDS	294				hypothetical protein
INHMNHHN_01072	CDS	813				hypothetical protein
INHMNHHN_01073	CDS	396	gloA2			lactoylglutathione lyase
INHMNHHN_01074	CDS	297	lsrG_2	5.3.1.32		(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase
INHMNHHN_01075	CDS	855				transcriptional regulator
INHMNHHN_01076	CDS	780	toxR			transcriptional regulator ToxR
INHMNHHN_01077	CDS	639	cat			chloramphenicol acetyltransferase
INHMNHHN_01078	CDS	900	migA			alpha-1,6-rhamnosyltransferase MigA
INHMNHHN_01079	CDS	1395		3.5.1.4		amidase
INHMNHHN_01080	CDS	1317				major facilitator superfamily transporter
INHMNHHN_01081	CDS	906				hypothetical protein
INHMNHHN_01082	CDS	666				AraC family transcriptional regulator
INHMNHHN_01083	CDS	987				transcriptional regulator
INHMNHHN_01084	CDS	426				hypothetical protein
INHMNHHN_01085	CDS	945				PpiC-type peptidyl-prolyl cis-trans isomerase
INHMNHHN_01086	CDS	480				hypothetical protein
INHMNHHN_01087	CDS	678				hypothetical protein
INHMNHHN_01088	CDS	1707				hypothetical protein
INHMNHHN_01089	CDS	747				hypothetical protein
INHMNHHN_01090	CDS	420	exbD2			transporter ExbD
INHMNHHN_01091	CDS	1848	exbB2			transporter ExbB
INHMNHHN_01092	CDS	1635				hypothetical protein
INHMNHHN_01093	CDS	603				hypothetical protein
INHMNHHN_01094	CDS	12543				hypothetical protein
INHMNHHN_01095	CDS	600				alkaline phosphatase L
INHMNHHN_01096	CDS	519				hypothetical protein
INHMNHHN_01097	CDS	1107				alkaline phosphatase L
INHMNHHN_01098	CDS	1215				type II secretion system protein
INHMNHHN_01099	CDS	1410				type II secretion system protein HxcR
INHMNHHN_01100	CDS	2412				type II secretion system protein
INHMNHHN_01101	CDS	594				type II secretion system protein
INHMNHHN_01102	CDS	1212				hypothetical protein
INHMNHHN_01103	CDS	966				HxcX atypical pseudopilin
INHMNHHN_01104	CDS	450				HxcT pseudopilin
INHMNHHN_01105	CDS	375				HxcV pseudopilin
INHMNHHN_01106	CDS	432				hypothetical protein
INHMNHHN_01107	CDS	450				HxcU pseudopilin
INHMNHHN_01108	CDS	642				HxcW pseudopilin
INHMNHHN_01109	CDS	960	vreR			sigma factor regulator VreR
INHMNHHN_01110	CDS	546	vreI			ECF sigma factor VreI
INHMNHHN_01111	CDS	717				hypothetical protein
INHMNHHN_01112	CDS	321				hypothetical protein
INHMNHHN_01113	CDS	597	hemO			heme oxygenase
INHMNHHN_01114	CDS	672	sulA			Cell division inhibitor SulA
INHMNHHN_01115	CDS	1416	imuB			Protein ImuB
INHMNHHN_01116	CDS	3075		2.7.7.7		error-prone DNA polymerase
INHMNHHN_01117	CDS	1437	pntB			pyridine nucleotide transhydrogenase subunit beta
INHMNHHN_01118	CDS	309	pntAB			NAD(P) transhydrogenase subunit alpha
INHMNHHN_01119	CDS	1119	pntAA			NAD(P) transhydrogenase subunit alpha
INHMNHHN_01120	CDS	900	tauD_1	1.14.11.17		taurine dioxygenase
INHMNHHN_01121	CDS	903	tauD_2	1.14.11.17		taurine dioxygenase
INHMNHHN_01122	CDS	2373				TonB-dependent receptor
INHMNHHN_01123	CDS	918				transcriptional regulator
INHMNHHN_01124	CDS	726				acid phosphatase
INHMNHHN_01125	CDS	1359				porin
INHMNHHN_01126	CDS	882				hypothetical protein
INHMNHHN_01127	CDS	816				hypothetical protein
INHMNHHN_01128	CDS	1062				ABC transporter
INHMNHHN_01129	CDS	1617				ABC transporter permease
INHMNHHN_01130	CDS	840				ABC transporter ATP-binding protein
INHMNHHN_01131	CDS	1611	atsA			arylsulfatase
INHMNHHN_01132	CDS	753		1.1.1.100		3-ketoacyl-ACP reductase
INHMNHHN_01133	CDS	933				transcriptional regulator
INHMNHHN_01134	CDS	1173	cttP			trichloroethylene chemotactic transducer CttP
INHMNHHN_01135	CDS	366				two-component response regulator
INHMNHHN_01136	CDS	1920				two-component sensor
INHMNHHN_01137	CDS	486				purine-binding chemotaxis protein
INHMNHHN_01138	CDS	2040	aer2			aerotaxis transducer Aer2
INHMNHHN_01139	CDS	843				chemotaxis protein methyltransferase
INHMNHHN_01140	CDS	603	cheD	3.5.1.44		Chemoreceptor glutamine deamidase CheD
INHMNHHN_01141	CDS	1050		3.1.1.61		chemotaxis response regulator protein-glutamate methylesterase
INHMNHHN_01142	CDS	1992				hypothetical protein
INHMNHHN_01143	CDS	543				hypothetical protein
INHMNHHN_01144	CDS	381				putative protein
INHMNHHN_01145	CDS	828	wspR_1			two-component response regulator
INHMNHHN_01146	CDS	591	yigZ		COG1739	IMPACT family member YigZ
INHMNHHN_01147	CDS	666				transcriptional regulator
INHMNHHN_01148	CDS	1407				transporter
INHMNHHN_01149	CDS	837				hypothetical protein
INHMNHHN_01150	CDS	1617				gamma-glutamyltranspeptidase
INHMNHHN_01151	CDS	792				transcriptional regulator
INHMNHHN_01152	CDS	1335	opdC			histidine porin OpdC
INHMNHHN_01153	CDS	186				hypothetical protein
INHMNHHN_01154	CDS	939				transcriptional regulator
INHMNHHN_01155	CDS	3048				resistance-nodulation-cell division (RND) efflux transporter
INHMNHHN_01156	CDS	1071				resistance-nodulation-cell division (RND) efflux membrane fusion protein
INHMNHHN_01157	CDS	1104				resistance-nodulation-cell division (RND) efflux membrane fusion protein
INHMNHHN_01158	CDS	840	pcaR			transcriptional regulator PcaR
INHMNHHN_01159	CDS	606	pcaG			protocatechuate 3,4-dioxygenase subunit alpha
INHMNHHN_01160	CDS	720	pcaH			protocatechuate 3,4-dioxygenase subunit beta
INHMNHHN_01161	CDS	918	pcaQ			transcriptional regulator PcaQ
INHMNHHN_01162	CDS	2388				TonB-dependent receptor
INHMNHHN_01163	CDS	996				transmembrane sensor
INHMNHHN_01164	CDS	588				ECF subfamily sigma-70 factor
INHMNHHN_01165	CDS	951		3.5.4.4		adenosine deaminase
INHMNHHN_01166	CDS	963				oxidoreductase
INHMNHHN_01167	CDS	1098				Purine-binding protein
INHMNHHN_01168	CDS	516				hypothetical protein
INHMNHHN_01169	CDS	627				hypothetical protein
INHMNHHN_01170	CDS	1053	nuh			nonspecific ribonucleoside hydrolase
INHMNHHN_01171	CDS	1350		3.5.4.43		8-oxoguanine deaminase
INHMNHHN_01172	CDS	1074	ppk2	2.7.4.1	COG2326	Polyphosphate:ADP/GDP phosphotransferase
INHMNHHN_01173	CDS	1566	ahpF			alkyl hydroperoxide reductase
INHMNHHN_01174	CDS	564	ahpC			alkyl hydroperoxide reductase
INHMNHHN_01175	CDS	927				ABC transporter permease
INHMNHHN_01176	CDS	1098				ABC transporter permease
INHMNHHN_01177	CDS	1572				ABC transporter ATP-binding protein
INHMNHHN_01178	CDS	885				hypothetical protein
INHMNHHN_01179	CDS	1299				guanine deaminase
INHMNHHN_01180	CDS	918				HTH-type transcriptional activator BauR
INHMNHHN_01181	CDS	1347		2.6.1.18		beta alanine--pyruvate transaminase
INHMNHHN_01182	CDS	288				beta-alanine degradation protein BauB
INHMNHHN_01183	CDS	1494				3-oxopropanoate dehydrogenase
INHMNHHN_01184	CDS	1428	gabP			gamma-aminobutyrate permease
INHMNHHN_01185	CDS	342				hypothetical protein
INHMNHHN_01186	CDS	501				hypothetical protein
INHMNHHN_01187	CDS	621				hypothetical protein
INHMNHHN_01188	CDS	228				hypothetical protein
INHMNHHN_01189	CDS	282				hypothetical protein
INHMNHHN_01190	CDS	909				transcriptional regulator
INHMNHHN_01191	CDS	411				hypothetical protein
INHMNHHN_01192	CDS	735				transcriptional regulator
INHMNHHN_01193	CDS	687				transcriptional regulator
INHMNHHN_01194	CDS	1335				C4-dicarboxylate transporter DctA
INHMNHHN_01195	CDS	588	nsaD	5.99.1.4		2-hydroxychromene-2-carboxylate isomerase
INHMNHHN_01196	CDS	729				short-chain dehydrogenase
INHMNHHN_01197	CDS	474			COG1733	putative HTH-type transcriptional regulator
INHMNHHN_01198	CDS	453	elaA		COG2153	Protein ElaA
INHMNHHN_01199	CDS	636	senC			cytochrome c oxidase assembly protein SenC
INHMNHHN_01200	CDS	915		2.5.1.-		protoheme IX farnesyltransferase
INHMNHHN_01201	CDS	1074	ctaA	1.3.-.-		Heme A synthase
INHMNHHN_01202	CDS	579				hypothetical protein
INHMNHHN_01203	CDS	795				hypothetical protein
INHMNHHN_01204	CDS	210				hypothetical protein
INHMNHHN_01205	CDS	888	coIII			cytochrome C oxidase subunit III
INHMNHHN_01206	CDS	555				cytochrome C oxidase assembly protein
INHMNHHN_01207	CDS	1593	coxA			cytochrome C oxidase subunit I
INHMNHHN_01208	CDS	1101	coxB			cytochrome C oxidase subunit II
INHMNHHN_01209	CDS	639				hypothetical protein
INHMNHHN_01210	CDS	1572				sulfate transporter
INHMNHHN_01211	CDS	729				carbonic anhydrase
INHMNHHN_01212	CDS	1248				hypothetical protein
INHMNHHN_01213	CDS	921				hypothetical protein
INHMNHHN_01214	CDS	1161				hypothetical protein
INHMNHHN_01215	CDS	1038		2.3.1.41		3-oxoacyl-ACP synthase
INHMNHHN_01216	CDS	1113				hypothetical protein
INHMNHHN_01217	CDS	450				hypothetical protein
INHMNHHN_01218	CDS	2226				hypothetical protein
INHMNHHN_01219	CDS	435				hypothetical protein
INHMNHHN_01220	CDS	1293				hypothetical protein
INHMNHHN_01221	CDS	285				hypothetical protein
INHMNHHN_01222	CDS	1941	vgrG1_2			type VI secretion system protein VgrG
INHMNHHN_01223	CDS	2709	clpV1			secretion protein ClpV1
INHMNHHN_01224	CDS	1047				hypothetical protein
INHMNHHN_01225	CDS	1860				hypothetical protein
INHMNHHN_01226	CDS	510				hypothetical protein
INHMNHHN_01227	CDS	786				hypothetical protein
INHMNHHN_01228	CDS	489	hcp1_1			protein secretion apparatus assembly protein
INHMNHHN_01229	CDS	1497				uricase
INHMNHHN_01230	CDS	519				hypothetical protein
INHMNHHN_01231	CDS	1035				hypothetical protein
INHMNHHN_01232	CDS	768				hypothetical protein
INHMNHHN_01233	CDS	1296				hypothetical protein
INHMNHHN_01234	CDS	1269	fabF2	2.3.1.41		3-oxoacyl-ACP synthase
INHMNHHN_01235	CDS	507			COG1733	putative HTH-type transcriptional regulator
INHMNHHN_01236	CDS	1143	pdxB			erythronate-4-phosphate dehydrogenase
INHMNHHN_01237	CDS	861				hypothetical protein
INHMNHHN_01238	CDS	618	bin3			Putative transposon Tn552 DNA-invertase bin3
INHMNHHN_01239	CDS	1056				hypothetical protein
INHMNHHN_01240	CDS	1734	aceK	2.7.11.5		bifunctional isocitrate dehydrogenase kinase/phosphatase
INHMNHHN_01241	CDS	534	aaaT	2.3.1.-	COG0454	L-amino acid N-acetyltransferase AaaT
INHMNHHN_01242	CDS	1305				guanine deaminase
INHMNHHN_01243	CDS	840				hypothetical protein
INHMNHHN_01244	CDS	2400	xdhB			xanthine dehydrogenase
INHMNHHN_01245	CDS	1455	xdhA			xanthine dehydrogenase
INHMNHHN_01246	CDS	1134	alkB2			alkane-1 monooxygenase
INHMNHHN_01247	CDS	660				transcriptional regulator
INHMNHHN_01248	CDS	3489	smc_2		COG1196	Chromosome partition protein Smc
INHMNHHN_01249	CDS	873	zipA			cell division protein ZipA
INHMNHHN_01250	CDS	2385	lig	6.5.1.2		NAD-dependent DNA ligase LigA
INHMNHHN_01251	CDS	378				hypothetical protein
INHMNHHN_01252	CDS	747				hypothetical protein
INHMNHHN_01253	CDS	2064	dnaX	2.7.7.7		DNA polymerase III subunits gamma/tau
INHMNHHN_01254	CDS	327				nucleoid-associated protein
INHMNHHN_01255	CDS	597	recR			recombination protein RecR
INHMNHHN_01256	CDS	1149				acyl-CoA dehydrogenase
