	imipenem
Kpn_IMI_206	0
Kpn_IMI_207	0
Kpn_IMI_208	0
Kpn_IMI_209	0
Kpn_IMI_210	0
Kpn_IMI_211	0
Kpn_IMI_212	0
Kpn_IMI_213	0
Kpn_IMI_214	0
Kpn_IMI_215	0
Kpn_IMI_216	0
Kpn_IMI_217	0
Kpn_IMI_218	0
Kpn_IMI_219	0
Kpn_IMI_220	0
Kpn_IMI_221	0
Kpn_IMI_222	0
Kpn_IMI_223	0
Kpn_IMI_224	0
Kpn_IMI_225	0
Kpn_IMI_226	0
Kpn_IMI_227	0
Kpn_IMI_228	0
Kpn_IMI_229	0
Kpn_IMI_230	0
Kpn_IMI_231	0
Kpn_IMI_232	0
Kpn_IMI_233	0
Kpn_IMI_234	0
Kpn_IMI_235	0
Kpn_IMI_236	0
Kpn_IMI_237	0
Kpn_IMI_238	0
Kpn_IMI_239	0
Kpn_IMI_240	0
Kpn_IMI_241	0
Kpn_IMI_242	0
Kpn_IMI_243	0
Kpn_IMI_244	0
Kpn_IMI_245	0
Kpn_IMI_246	0
Kpn_IMI_247	0
Kpn_IMI_248	0
Kpn_IMI_249	0
Kpn_IMI_S_321	0
Kpn_IMI_S_364	0
Kpn_IMI_S_399	0
Kpn_IMI_S_11	0
Kpn_IMI_S_54	0
Kpn_IMI_S_284	0
Kpn_IMI_S_178	0
Kpn_IMI_S_185	0
Kpn_IMI_S_279	0
Kpn_IMI_S_244	0
Kpn_IMI_S_201	0
Kpn_IMI_S_94	0
Kpn_IMI_S_69	0
Kpn_IMI_S_145	0
Kpn_IMI_S_100	0
Kpn_IMI_S_9	0
Kpn_IMI_S_359	0
Kpn_IMI_S_161	0
Kpn_IMI_S_124	0
Kpn_IMI_S_260	0
Kpn_IMI_S_225	0
Kpn_IMI_S_338	0
Kpn_IMI_S_380	0
Kpn_IMI_S_305	0
Kpn_IMI_S_340	0
Kpn_IMI_S_218	0
Kpn_IMI_S_119	0
Kpn_IMI_S_35	0
Kpn_IMI_S_70	0
Kpn_IMI_S_307	0
Kpn_IMI_S_342	0
Kpn_IMI_S_37	0
Kpn_IMI_S_72	0
Kpn_IMI_S_262	0
Kpn_IMI_S_227	0
Kpn_IMI_S_163	0
Kpn_IMI_S_126	0
Kpn_IMI_S_382	0
Kpn_IMI_S_147	0
Kpn_IMI_S_102	0
Kpn_IMI_S_246	0
Kpn_IMI_S_203	0
Kpn_IMI_S_96	0
Kpn_IMI_S_323	0
Kpn_IMI_S_366	0
Kpn_IMI_S_187	0
