	piperacillin
Eco_PIP_167	0
Eco_PIP_168	0
Eco_PIP_169	0
Eco_PIP_170	0
Eco_PIP_171	0
Eco_PIP_172	0
Eco_PIP_173	0
Eco_PIP_174	0
Eco_PIP_175	0
Eco_PIP_176	0
Eco_PIP_177	0
Eco_PIP_228	0
Eco_PIP_229	0
Eco_PIP_230	0
Eco_PIP_231	0
Eco_PIP_232	0
Eco_PIP_233	0
Eco_PIP_234	0
